Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
1901,812.84,864.18,842.65,952.04,577.74,769.41,763.52,570.08,729.86,919.29,1094.93,507.38,494.52,971.36,817.13,827.12,851.55,527.93,551.44,498.72,653.64,1247.63,1183.65,3142.03,2743.67,3055.19,1646.8,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1902,766.73,737.39,841.44,895.41,649.58,718.76,768.64,607.76,697.21,823.49,987.38,606.54,541.82,793.96,828.07,733.78,787.33,607.35,600.94,577.63,676.2,889.41,1056.22,3328.12,3041.95,3369.07,1564,2014.97,2056.04,3298.28,3221.94,2800.79,3423.1
1903,799.6,757.38,811.08,845.48,828.09,668.17,1047.5,604.46,756.36,825.91,920.23,739.73,568.09,794.11,781.83,815.59,744.43,761.43,722.9,676.12,717.44,981.14,1014.43,3111.88,2684.72,3182.1,1710.2,2014.97,2056.04,3085.81,3012.61,2618.31,3205.5
1904,678.64,704.56,712.94,694.69,699.08,616.25,909.87,563.74,659.78,638.55,837.58,605.87,504.32,626.72,688.33,720.35,612.99,583.29,635.08,545.09,635.94,732.85,823.1,3163.91,2766.21,2774.91,1638,2014.97,2056.04,2659.82,2592.56,2235.07,2769.8
1905,790.02,840.87,854.9,858.4,689,675.11,786.84,617.7,727.44,882.3,979.53,671.22,588.43,820.09,829.23,789.15,792.47,719.45,643.96,670.75,711.33,980.22,1029.52,3181.74,2775.83,2821.59,1638,2014.97,2056.04,2701.22,2637.51,2292.15,2805.4
1906,730.12,729.49,852.23,708.52,711.23,609.94,833.38,598.57,708.93,722.1,814.92,685.63,573.4,785.86,754.31,755.44,771.75,711.28,637.36,654.82,709.55,806.02,771.74,3025.32,2536.43,2980.69,1638,2014.97,2056.04,2899.08,2834.18,2480.49,3005.2
1907,818.24,670.79,898.91,951.31,650.04,675.05,853.6,607.61,656.79,820.71,884.27,586.76,506.5,1019.41,889.9,692.28,878.3,585.25,650,551.86,766.04,1214.09,1134.84,3552.74,3351.96,2596.63,1341.2,2014.97,2056.04,2430.22,2369.37,2042.52,2529.7
1908,703.19,791.57,871.32,763.5,593.84,635.32,702.67,568.2,677.81,611.29,898.79,579.47,522.79,688.03,765.97,757.3,756.73,598,556,563.41,657.53,717.76,853.84,3127.14,2728.46,2431.4,1650.1,2014.97,2056.04,2283.16,2225.71,1922.72,2377.1
1909,820.04,824.61,807.67,928.45,779.71,765.31,926.72,699.25,783.21,769.97,1008.22,719.88,626.11,775.02,906.99,818.91,715.09,737.94,726.42,688.22,796.27,963.35,1054.72,2986.44,2526.19,3055.19,1510,2014.97,2056.04,2970.42,2897.28,2503.63,3090
1910,1058,1021.54,1063.9,1214.21,983.02,1061.94,1169.51,910.41,1013.88,908.54,1360.62,905.57,847.18,983.81,1159.73,1051.14,924.01,893.17,947.46,862.48,1005.74,1178.27,1382.72,2977.63,2498.02,2932.97,1487.8,2014.97,2056.04,2810.76,2742.79,2370.97,2921.9
