Variable:,tas
,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,"Friuli-venezia Giulia",Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,"Trentino-alto Adige",Umbria,"Valle D'aosta",Veneto
2006,13.10,14.37,15.60,17.06,16.97,12.90,11.05,16.88,14.38,11.56,12.71,16.18,10.40,15.39,17.13,18.76,15.45,6.55,15.19,5.98,13.82
2007,13.26,14.59,15.78,17.17,17.11,13.06,11.33,17.00,14.45,11.73,12.90,16.34,10.48,15.59,17.09,18.72,15.55,6.81,15.33,6.04,14.14
2008,13.17,14.30,15.62,17.05,16.92,12.89,11.34,16.80,14.49,11.78,12.58,16.16,10.61,15.46,17.00,18.58,15.40,6.87,15.06,6.26,13.92
2009,13.33,14.43,15.62,17.02,17.02,13.15,11.65,17.02,14.66,11.99,12.84,16.21,10.76,15.43,17.12,18.75,15.68,7.13,15.33,6.37,14.30
2010,13.11,14.45,15.65,17.04,17.05,12.85,11.33,16.96,14.19,11.47,12.76,16.32,10.22,15.46,16.98,18.66,15.46,6.61,15.31,5.80,14.16
2011,13.33,14.76,15.88,17.15,17.26,13.07,11.36,17.13,14.49,11.75,12.99,16.57,10.57,15.75,17.19,18.77,15.58,6.80,15.44,6.20,14.09
2012,13.08,14.39,15.61,16.99,16.98,12.90,11.05,16.86,14.35,11.57,12.70,16.21,10.40,15.42,17.02,18.62,15.37,6.53,15.15,5.95,13.84
2013,12.93,14.22,15.43,16.84,16.81,12.70,10.86,16.71,14.23,11.48,12.49,16.08,10.31,15.25,16.94,18.53,15.23,6.46,14.98,5.89,13.49
2014,13.21,14.41,15.60,17.03,16.96,13.03,11.30,16.87,14.59,11.79,12.79,16.20,10.66,15.48,17.10,18.74,15.52,6.78,15.23,6.22,13.95
2015,13.40,14.61,15.76,17.17,17.13,13.29,11.58,17.08,14.73,12.01,13.06,16.39,10.76,15.58,17.24,18.78,15.73,7.07,15.48,6.23,14.32
2016,13.45,14.69,15.87,17.25,17.27,13.29,11.53,17.20,14.87,12.06,13.04,16.49,11.00,15.64,17.29,18.95,15.79,7.01,15.52,6.56,14.27
2017,13.33,14.63,15.88,17.26,17.23,13.08,11.41,17.09,14.54,11.79,12.94,16.45,10.62,15.66,17.17,18.90,15.60,6.85,15.39,6.20,14.12
2018,13.27,14.58,15.79,17.17,17.14,13.06,11.33,17.06,14.64,11.79,12.84,16.39,10.65,15.61,17.11,18.75,15.63,6.83,15.34,6.22,13.92
2019,13.47,14.80,15.96,17.37,17.34,13.23,11.49,17.24,14.74,12.04,13.06,16.59,10.85,15.77,17.35,19.03,15.74,7.03,15.55,6.48,14.27
2020,13.25,14.49,15.76,17.17,17.08,13.02,11.37,16.99,14.43,11.74,12.86,16.30,10.48,15.56,17.10,18.76,15.53,6.80,15.31,6.08,14.13
2021,13.49,14.78,15.95,17.37,17.33,13.34,11.45,17.25,14.83,12.03,13.13,16.59,10.86,15.77,17.39,19.02,15.86,6.97,15.60,6.34,14.19
