Variable:,pr,,,,,,,,,,,,,,,,,,,
,Spain,Andalucía,Aragón,Principado de Asturias,Illes Balears,Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña/Catalunya,Ciudad Autónoma de Ceuta,Comunitat Valenciana,Extremadura,Galicia,Comunidad de Madrid,Ciudad Autónoma de Melilla,Región de Murcia,Comunidad Foral de Navarra,País Vasco/Euskadi,La Rioja
2006,608.25,375.68,593.18,977.76,338.12,113.79,908.36,754.19,489.89,465.83,303.44,396.3,571.22,985.17,577.27,297.03,339.24,804.93,863.01,785.49
2007,605.65,395.09,579.7,924.61,384.79,109,843.88,764.23,508.02,494.01,358.56,411.34,547.68,994.22,615.17,307.92,360.76,729.32,793.27,742.97
2008,605.2,348.44,617.29,960.29,361.28,112.37,906.79,758.98,469.21,550.67,280.44,410.07,495.66,952.02,587.67,317.17,337.49,805.96,840.03,786.3
2009,667.88,475.87,624.26,1025.26,370.5,107.54,924.59,818.19,551.46,536.27,374.66,383.94,728.74,1158.97,685.86,311.08,323.54,771.72,849.96,765.09
2010,631.41,340.32,667.12,1019.42,382.91,70.56,991.76,797.82,484.74,541.52,310.04,401.3,499.09,1007.69,616.61,308.65,311.62,858.31,929.69,845.88
2011,618.8,392.85,583.1,941.49,361.11,122.06,908.72,804.97,490,510.09,322.02,350.04,588.2,982.33,674.85,256.41,308.68,801.83,855.45,803.84
2012,666.57,426.14,648.51,1016.71,453.52,112.72,945.01,846.3,556.66,564.11,358.18,463.69,601.19,1037.9,694.46,303.08,394.97,784.01,847.21,791.61
2013,588.66,296.82,578.99,1025.86,336.91,88.14,913.07,796.74,425.56,468.97,218.2,332.28,491.4,1010.66,597.82,203.51,257.81,810.68,888.55,812.91
2014,632.65,374.42,583.67,1060.88,367.13,86.24,933.15,816.87,514.77,482.15,294.81,391.92,619.48,1093.12,611.31,275.15,341.63,765.33,835.9,769.05
2015,596.46,329.42,570.64,943.2,333.41,96.7,901.47,788.22,481.12,475.49,305.28,370.32,526.26,977.99,614.65,261.52,302.36,755.77,859.52,801.34
2016,612.54,407.43,550.97,1012.68,377.42,102.17,904.96,809.39,473.27,461.49,359.76,345.43,583.96,1049.3,639.42,271.38,309.23,746.18,827.56,747.95
2017,601.12,361.4,581.3,983.53,368.29,124.67,864.49,756.6,475.27,509.29,293.08,370.92,502.28,1075.47,615.8,256.47,339.76,785.04,815.57,771.2
2018,598.59,378.71,558.42,1018.56,365.38,101.34,915.61,747.56,462.83,478.85,323.2,383.27,582.29,1035.06,574.81,229.36,303.82,734.36,816.34,727.85
2019,622.46,345.5,609.11,1055.56,390.56,120.82,977.44,796.99,478.76,536.95,317.03,385.13,512.15,1012.4,603.01,241.91,308.59,808.99,883.82,808.66
2020,631.63,385.53,622.55,995.32,330.67,103.98,922.12,795.63,496.11,513.08,330.8,387.17,569.09,1048,610,256.07,324.65,832.88,900.61,838.3
2021,615.03,349.69,602.06,1014.28,376.44,84.71,952.11,785.12,474.95,504.15,291.19,359.03,538.97,1062.76,628.3,266.39,315.63,796.87,888.33,785.78
2022,609.25,371.06,584.47,989.67,368.39,99.96,894.93,782.16,470.46,523.26,345.84,365.18,565.41,1072.88,598.28,254.74,286.5,730.81,818.7,755.91
2023,607.19,342.22,599.18,1004.08,411.74,104.79,953.66,776.14,454.2,525.17,309.81,414.05,501.53,931.8,567.8,270.5,321.71,812.09,895.14,820.27
2024,606.1,332,574.22,1059.8,347.78,140.78,925.85,787.64,478.13,465.7,293.87,351.32,502.62,1102.55,621,267.97,322.34,773.63,852.31,775.31
2025,570.49,311.03,582.58,994.59,311.15,71.43,873.52,718.09,425.76,496.66,242.17,337.63,484.33,1001.78,532.46,214.6,258.79,755.66,812.14,714.51
2026,586.63,335.78,567.58,961.61,334.63,98.49,888.41,778.08,457.58,453.56,308.13,375.95,520.57,973.22,588.2,273.64,293.77,750.08,815.89,766.43
2027,587.13,355.89,568.58,920.3,343.49,96.66,906.45,729.07,459.58,487.25,279.14,390.91,519.14,942.28,584.5,281.53,335.26,740.51,842.27,750.24
2028,624.58,352.48,612.15,1009.42,356.95,88.97,898.87,819.07,476.4,515.99,284.99,398.14,552.22,1086.63,634.86,291.62,333.08,794.99,851.34,812.48
2029,567.71,302.08,553.37,984.56,344.76,83.79,877.96,751.31,425.64,460.54,240.14,328.15,462,1024.55,577.61,233.94,282.33,741.98,812.95,736.23
2030,580.81,294.95,553.26,977.34,362.2,87.26,927.24,774.16,430.1,474.6,238.06,307.42,480.78,1059.23,592.93,246.58,268.37,803.97,879.59,825.7
2031,622.11,351.36,607.89,964.59,371.92,120.56,909.56,796.38,492.73,551.86,290.27,404.93,560.98,1049.38,635.39,261.53,325.53,780.6,846.37,793.72
2032,615.79,359.47,626.74,1008.38,388.85,109.77,929.85,759.43,467.99,549.28,273.61,374.87,549.05,1074.01,582.16,254.26,298.96,794.89,864.82,793.51
2033,557.78,306.55,562.67,928.44,311.14,86.74,846.58,736.99,418.36,446.07,227.39,334.84,443.14,953.53,560.65,251.54,267.43,769.75,832.59,801.28
2034,656.59,389.47,611.07,1080.72,434.84,115.91,970.28,879.73,507.43,533.75,326.51,409.67,612.8,1081.08,684.23,273.71,351.77,794.96,878.93,801.82
2035,565.7,280.52,546.75,1000.94,332.35,105.71,884.3,761.89,406.38,458.22,235.26,308.46,499.58,1078.98,585.21,200.76,232.82,733.6,812.14,728.56
2036,611,355.17,595.72,1067.22,371.22,83.4,955.47,777.85,453.55,506.7,332.16,354.48,552.99,1067.11,568.36,247.88,300.7,785.34,874.24,783.34
2037,540.74,319.58,548.04,875.88,380.76,91.07,821.15,669.17,408.07,463.44,269,362.14,498.45,877.56,497.24,224.87,280.58,693.48,767.49,703.77
2038,603.92,336.52,601.47,959.37,372.88,88.71,872.24,769.56,479.73,515.75,296.67,403.94,506.85,1075.14,628.87,293.67,322.01,785.26,835.49,773.25
2039,611.13,312,608.2,1056.13,353.04,105.73,943.27,796.26,451.39,518.43,236.82,372.97,540.04,1087.9,593.1,248.71,293.83,787.33,854.74,794.51
2040,592.15,366.19,572.44,952.32,371.73,108.69,825.97,746.47,462.65,515.26,297.12,363.59,538.01,1015.38,588.45,261.54,357.78,753.34,798.21,746.01
2041,618.06,354.95,618.67,984.97,393.92,103.76,928.32,770.65,484.55,558.44,314.96,405.3,532.93,1007.58,599.99,278.93,315.15,780.81,841.76,788.56
2042,598.29,338.07,575.31,1041.06,356.49,102.32,939.38,749.52,440.78,538.05,302.35,393.57,492.41,1043.58,565.45,287.89,322.75,754.35,846.54,763.77
2043,598.52,348.01,584.73,972.66,396.47,94.45,894.25,767.06,456.39,538.35,274.09,402.77,486.27,1029.29,549.46,271.7,340.52,748.17,840.44,747.58
2044,581.76,324.92,578.02,919.38,355.55,97.73,864.09,752.57,443.26,496.46,285.26,370.69,486.71,997.02,580.46,258.44,295.56,760.37,844.8,796.02
2045,604.08,369.53,595.53,957.82,391.51,89.08,885.63,774.88,462.04,521.46,345.64,364.75,530.57,1009.24,580.29,270.54,317.6,767.83,850.13,781.61
2046,548,281.2,530.31,949.15,285.44,120.12,892.56,729.06,389.98,465.91,249.88,316.53,448.89,976.33,518.18,231.14,239.91,732.02,836.16,760.28
2047,577.9,338.17,556.5,1005.02,393.48,107.69,885.05,731.78,424.75,496.61,280.16,384.75,488.89,991.98,527.07,272.36,321.45,734.57,834.33,737.52
2048,592.04,347.74,587.12,886.42,392.55,112.51,844.81,762.32,476.41,480.96,286.27,407.39,503.76,962.09,627.96,242.02,324.35,759.45,836.53,789.58
2049,622.22,373.79,600.4,1006.89,369.11,83.55,925.85,811.78,489.77,501.82,288.06,348.03,574.71,1080.11,639.12,253.17,294.37,789.64,876.92,781.54
2050,596,366.94,586.79,978.94,363.04,115.75,879.25,755.47,460.63,505.5,332.31,388.04,529.77,1027.33,547.69,270.79,317.91,741.33,802.48,735.02
2051,597.99,327.86,577.36,1050.48,343.04,93.79,973.53,782.89,428.31,482.06,268.38,385.62,516.41,1049.15,554.12,264.64,315.65,761.66,850.77,755.92
2052,619.22,337.35,622.03,1014.86,365.26,108.69,930.72,791.47,484.2,504.66,312.86,396.11,525.73,1020.39,596.04,208.67,318.66,807.8,902.5,843.66
2053,610.72,334.39,588.7,1033.62,345.12,85.45,936.42,807.92,475.65,481.8,274.92,379.86,525.2,1093.43,606.71,226.41,299.93,764.1,849.77,783.45
2054,620.61,319.28,603.53,1027.59,337.32,90.68,955.48,824.31,478.75,494.34,280.39,340.87,528.85,1129.81,677.53,258.16,289.72,808.5,898.29,810.56
2055,626.99,348.41,582.68,1038.18,374.02,79.76,946.65,817.58,492.89,518.28,310.32,365.33,581.93,1081.53,643.71,277.84,299.14,783.85,872.73,778.08
2056,615.24,378.35,616.47,977.28,333.66,97.43,891.13,779.76,479.8,530.28,329.91,388.43,521.15,1032.82,569.81,267.81,315.57,768.89,850.88,773.73
