Variable:,tas
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
1901,12.17,15.01,10.58,9.37,15.51,17.58,10.02,9.96,12.26,11.51,16.72,13.98,14.47,10.71,11.89,17.09,14.33,10.42,10.35,8.96
1902,12.39,15.17,10.88,9.52,15.87,17.55,10.20,10.17,12.53,11.84,16.74,14.31,14.63,10.86,12.14,17.11,14.61,10.67,10.57,9.21
1903,12.46,15.21,10.88,9.74,15.61,17.24,10.38,10.32,12.55,11.81,16.82,14.20,14.74,11.11,12.19,17.08,14.55,10.77,10.71,9.35
1904,12.85,15.61,11.34,9.97,16.13,17.13,10.69,10.66,12.97,12.32,17.18,14.69,15.12,11.35,12.61,17.49,14.99,11.19,11.08,9.70
1905,12.19,14.98,10.62,9.37,15.49,17.26,10.01,9.98,12.32,11.59,16.57,14.01,14.47,10.72,11.95,16.91,14.37,10.47,10.37,8.98
1906,12.45,15.17,10.87,9.80,15.50,17.20,10.43,10.35,12.50,11.83,16.73,14.13,14.72,11.16,12.20,17.02,14.49,10.84,10.78,9.36
1907,12.28,14.98,10.73,9.57,15.48,16.90,10.24,10.15,12.34,11.70,16.52,14.02,14.55,10.94,12.02,16.83,14.33,10.67,10.60,9.21
1908,12.57,15.31,10.98,9.90,15.69,17.05,10.51,10.45,12.68,11.89,16.85,14.32,14.87,11.29,12.33,17.15,14.66,10.87,10.81,9.46
1909,12.12,14.94,10.45,9.41,15.30,17.30,9.97,9.96,12.25,11.36,16.53,13.85,14.48,10.82,11.89,16.81,14.26,10.30,10.25,8.89
1910,12.24,14.98,10.68,9.55,15.47,17.21,10.15,10.09,12.32,11.68,16.55,14.00,14.49,10.90,11.98,16.89,14.37,10.59,10.52,9.09
1911,12.51,15.09,11.17,9.86,16.05,17.19,10.57,10.35,12.50,12.29,16.58,14.34,14.59,11.14,12.15,17.04,14.55,11.14,11.02,9.53
