Variable:,tas
,Spain,Andalucía,Aragón,"Principado de Asturias","Illes Balears",Canarias,Cantabria,"Castilla y León","Castilla-La Mancha",Cataluña/Catalunya,"Ciudad Autónoma de Ceuta","Comunitat Valenciana",Extremadura,Galicia,"Comunidad de Madrid","Ciudad Autónoma de Melilla","Región de Murcia","Comunidad Foral de Navarra","País Vasco/Euskadi","La Rioja"
2006,14.43,17.44,13.11,10.96,18.60,19.85,11.46,13.01,15.27,15.24,18.02,15.71,16.93,13.62,15.15,18.04,16.37,12.56,11.91,11.49
2007,14.18,17.01,12.88,10.92,18.36,19.50,11.32,12.90,14.93,15.03,17.46,15.45,16.59,13.61,14.90,17.75,16.03,12.33,11.69,11.29
2008,14.32,17.32,12.96,11.04,18.53,19.77,11.39,12.97,15.06,15.16,17.89,15.57,16.74,13.77,14.92,17.97,16.22,12.37,11.78,11.28
2009,14.42,17.40,13.04,11.06,18.61,19.76,11.44,13.14,15.20,15.21,18.08,15.65,16.98,13.79,15.20,18.21,16.34,12.43,11.83,11.35
2010,14.14,17.16,12.83,10.73,18.46,19.68,11.18,12.73,14.93,14.95,17.77,15.55,16.58,13.40,14.74,17.77,16.25,12.23,11.59,11.11
2011,14.34,17.34,12.97,11.02,18.52,19.53,11.34,13.04,15.17,15.06,17.80,15.57,16.94,13.76,15.04,18.12,16.22,12.39,11.74,11.32
2012,14.36,17.36,12.95,11.19,18.62,19.71,11.55,13.07,15.05,15.11,17.90,15.62,16.92,13.85,15.01,17.92,16.33,12.43,11.85,11.39
2013,14.36,17.35,12.99,11.02,18.46,19.74,11.41,13.02,15.22,15.07,17.91,15.65,16.94,13.71,15.18,18.15,16.30,12.34,11.74,11.23
2014,14.47,17.42,13.19,11.12,18.56,19.63,11.51,13.10,15.27,15.28,17.97,15.76,17.01,13.78,15.17,18.12,16.40,12.53,11.88,11.44
2015,14.43,17.40,13.09,11.03,18.66,19.75,11.53,13.05,15.18,15.21,17.99,15.74,16.95,13.81,15.02,18.10,16.45,12.57,11.97,11.46
2016,14.54,17.53,13.22,11.26,18.71,19.77,11.70,13.19,15.27,15.35,18.15,15.83,17.04,13.89,15.16,18.31,16.49,12.68,12.10,11.63
2017,14.31,17.28,12.96,11.01,18.53,19.77,11.44,13.00,15.02,15.14,17.97,15.61,16.79,13.71,14.91,18.03,16.22,12.38,11.84,11.34
2018,14.51,17.43,13.21,11.35,18.63,19.70,11.75,13.19,15.20,15.38,18.08,15.72,17.05,13.95,15.10,18.09,16.36,12.62,12.04,11.43
2019,14.70,17.62,13.45,11.17,18.95,20.03,11.53,13.33,15.59,15.55,18.10,16.05,17.17,13.84,15.51,18.26,16.70,12.73,12.01,11.61
2020,14.36,17.31,13.09,10.87,18.62,19.71,11.33,12.98,15.21,15.20,17.84,15.73,16.77,13.52,15.11,18.09,16.40,12.44,11.75,11.35
2021,14.63,17.62,13.39,11.07,18.91,19.88,11.54,13.19,15.49,15.56,18.17,16.00,17.11,13.81,15.37,18.38,16.66,12.68,12.05,11.58
2022,14.95,17.88,13.74,11.59,18.86,20.04,12.12,13.65,15.75,15.71,18.43,16.09,17.34,14.14,15.70,18.63,16.77,13.25,12.58,12.20
2023,14.48,17.40,13.23,10.99,18.71,19.65,11.41,13.12,15.31,15.37,17.94,15.75,16.99,13.65,15.24,18.05,16.36,12.62,11.91,11.51
2024,14.60,17.48,13.32,11.15,18.78,19.70,11.59,13.23,15.47,15.47,17.90,16.06,17.11,13.84,15.36,18.27,16.62,12.53,11.97,11.45
2025,14.77,17.80,13.28,11.33,18.80,19.92,11.75,13.48,15.66,15.36,18.31,16.05,17.55,13.97,15.67,18.49,16.73,12.71,12.14,11.69
2026,14.66,17.66,13.42,11.24,18.93,19.99,11.68,13.24,15.46,15.55,18.23,16.10,17.03,13.88,15.23,18.40,16.73,12.73,12.06,11.59
2027,14.48,17.49,13.11,11.17,18.69,20.00,11.54,13.17,15.14,15.40,18.09,15.74,17.07,13.92,15.01,18.17,16.38,12.54,11.95,11.46
2028,14.66,17.67,13.39,11.15,18.70,19.83,11.55,13.27,15.53,15.50,18.05,15.99,17.27,13.75,15.45,18.36,16.65,12.68,11.97,11.62
2029,14.81,17.76,13.50,11.27,18.87,20.00,11.77,13.57,15.62,15.55,18.37,16.07,17.30,14.09,15.57,18.36,16.70,12.93,12.32,11.90
2030,14.59,17.59,13.33,11.14,18.66,19.81,11.61,13.17,15.39,15.41,18.06,15.79,17.13,13.83,15.34,18.15,16.46,12.69,12.03,11.57
2031,14.79,17.82,13.43,11.38,18.92,20.18,11.80,13.42,15.66,15.55,18.31,15.95,17.39,13.94,15.57,18.20,16.68,12.85,12.19,11.73
2032,14.69,17.73,13.27,11.29,18.68,20.05,11.70,13.38,15.57,15.37,18.17,15.86,17.24,13.97,15.47,18.33,16.63,12.74,12.11,11.64
