Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2006,857.61,1149.42,879.76,433.44,998.59,537.67,789.35,1283.11,1314.01,1298.36,1054.12,1236.77,773.17,727.08,999.27,1079.39,827.9,866.75,1207.58,927.21,1264.8,1304.79,1315.39,928.68,673.64,1016.7,977.82,726.37,837.99,526.53,1309.7,1285.57,704.38,1253.39,1317.94,553.02,1159.8,837.38,985.81,1226.43,1322.92,1294.78,708.17,1213.87,732.68,525.8,1304.44,1299.29,1167.06,1243.04,828.85,717.51
2007,865.9,1213.14,873.29,413.93,1087.84,611.05,783.09,1247.97,1264.62,1315.04,972.16,1235.93,654.21,777.48,968.18,1095.7,860.58,846.36,1292.61,997.38,1273.98,1266.76,1263.97,949.72,722.44,1116.33,968.28,720.48,775.64,517.47,1272.19,1198.25,646.51,1198.34,1325.24,583.83,1196.14,844.07,1083.97,1225.49,1269.89,1242.46,706.85,1300.21,724.75,529.47,1248.31,1312.69,1161,1300.25,865.26,711.85
2008,876.54,1247.51,852.35,370.8,1048.31,601.29,740.94,1344.61,1226.26,1263.42,1068.27,1267.53,672.23,834.78,1048.4,1175.98,911.12,858.74,1285.6,1029.21,1299.98,1254.25,1361.45,988.4,717.4,1137.28,1031.13,744.39,879.74,575.88,1355.27,1285.32,634.75,1289.48,1323,588.45,1242.16,800.39,1156.56,1261.48,1358.89,1305.49,746.62,1278.82,707.62,503.27,1328.66,1274.45,1210.38,1270.37,886.82,720.16
2009,876.2,1256.71,871.76,439.05,1040.51,599.05,752.44,1318.75,1352.26,1315.74,1023.17,1297.37,666.66,795.14,1000.61,1096.84,836.87,810.82,1262.1,1020.89,1349.02,1330.57,1360.94,928.7,723.31,1161.76,949.37,766.87,825.4,584.16,1385.58,1296.38,664.16,1265.38,1408.92,590.11,1150.59,742.5,1052.16,1263.7,1306.99,1377.62,715.9,1308.93,727.11,555.88,1353.05,1362.43,1171.37,1339.74,880.3,741.91
2010,854.76,1216.34,854.86,347.28,1031.71,589.81,725.44,1256.69,1225.88,1252.59,1016.28,1243.49,611.87,767.99,1025.35,1126.25,748.47,764.19,1306.91,993.14,1333.69,1225.73,1280.3,979.21,707.16,1122.57,950.11,751.59,795.27,548.52,1304.45,1231.58,591.48,1244.71,1331.07,603.53,1206.08,764.39,1056.89,1268.66,1243.62,1291.82,700.31,1320.47,710.69,465.66,1266.51,1315.55,1194.96,1300.75,865.4,694.5
2011,855.03,1132.27,873.37,371.01,978.25,624.75,787.62,1206.04,1286.84,1315.5,993.57,1188.33,543.64,792.49,971.91,1072.38,825.52,821.62,1206.39,931.91,1240.19,1270.21,1263.78,941.12,710.62,1055.04,972.08,773.57,837.86,606.82,1243.56,1250.44,589.45,1154.84,1272.22,615.06,1134.98,774.38,1086.5,1211.16,1265.76,1206.25,778.69,1239.2,665.48,551.16,1178.52,1307.49,1171.04,1284.04,856.43,740.14
2012,860.49,1213.21,881.89,457.31,1030.26,587.52,770.66,1292.94,1341.49,1308.24,1024,1219.03,646.91,742.44,962.46,1050.01,807.7,803.36,1276.63,965.92,1305.7,1323.49,1319.55,899.62,663.04,1092.84,943.3,743.34,777.98,572.05,1290.25,1324.09,703.64,1237.38,1430.09,547.91,1148.95,789.36,1027.31,1264.72,1326.11,1321.35,691.8,1278.26,721.75,520.39,1284.31,1366.34,1096.35,1309.54,807.4,710.2
2013,850.69,1140.7,850.96,399.7,1017.33,593.13,757.25,1219.92,1207.33,1211.96,990.14,1190.71,728.65,794.24,1009.85,1098.05,809.49,829.27,1217.03,845.36,1300.8,1220.95,1235.79,938.18,713.5,1050.86,961.91,733.88,827.6,577.74,1227.13,1240.24,609.77,1187.97,1297.37,580.86,1194.37,789.19,1094.03,1228.05,1225.24,1266.42,721.48,1236.05,674.42,551.42,1195.95,1238.15,1205.64,1253.06,810.2,699.89
2014,863.94,1173.35,855.08,376.01,1077.29,608.6,781.58,1285.26,1290.66,1378.32,973.09,1177.3,696.33,766.96,1001.82,1089.34,838.95,861.23,1278.85,930.77,1358.59,1323.48,1319.2,975.28,736.07,1051.84,1019.61,734.06,827.18,544.52,1353.21,1255.98,654.61,1260.44,1383.05,565.62,1135.37,847.01,1057.05,1263.11,1262.51,1268.8,698.51,1283.39,689.59,521.98,1333.68,1387.52,1177.85,1314.32,898.92,707.02
2015,853.96,1125.1,911.84,406.91,1001.37,616.62,744.13,1244.77,1287.42,1253.58,1006.12,1171.94,648.59,780.07,940.96,1026.31,797.65,775.67,1205.89,856.42,1276.18,1272.52,1273.9,942.78,715.65,1011.81,918.2,751.41,789.19,570.31,1304.08,1256.43,595.42,1227.74,1354.13,603.86,1144.41,779.03,1034.81,1234.39,1210.8,1264.9,735.54,1233.1,673.03,537.55,1303.88,1291.15,1109.21,1238.4,886.15,722.1
2016,840.15,1121.13,877.19,352.96,933.64,564.53,709.8,1275.62,1197.98,1266.93,1014.35,1180.25,667.61,745.5,986.19,1067.98,816.22,799.81,1241.59,866.57,1346.39,1250.38,1293.14,945.39,672.19,1001.29,927.38,753.91,750.72,505.09,1331.88,1210.76,613.34,1263.5,1310.61,579.52,1190.88,767.16,1037.86,1209.37,1287.66,1244.35,652.56,1215.65,707.66,474.82,1341.35,1308.52,1179.64,1295.51,837.92,656.4
2017,871.43,1280.46,878.89,445.27,1081.68,610.45,777.72,1337.21,1313.81,1357.65,1092.34,1292.1,712.52,733.69,1001.45,1105.57,775.3,818.37,1288.2,981.69,1409.74,1325.85,1319.52,975.38,676.2,1135,975.46,726.05,759.24,560.75,1331.47,1302.27,657.93,1307.73,1430.51,545.94,1220.18,844.01,1007.84,1329.28,1344.47,1373.03,661.42,1326.98,706.69,515.76,1316.85,1382.18,1088.72,1333.37,851.97,695.6
2018,891.28,1321.68,879.69,393.47,1094.96,627.4,743.02,1333.54,1292.59,1325.28,1051.78,1302.92,638.6,782.54,1026.71,1169.39,885.02,850.77,1343.79,1044.14,1287.41,1292.14,1367.11,950.08,733.46,1198.43,999.6,777.03,864.87,594.54,1353.56,1272.43,634.61,1315.42,1435.73,625.33,1217.85,802.14,1078.02,1244.78,1334.9,1355.44,762.34,1379.38,742.78,532.95,1382.75,1371.96,1185.23,1302.8,869.95,702.89
2019,855.49,1181.64,871.66,384.36,1018.84,608.45,725.58,1344.49,1318.94,1314.93,968.73,1264.44,662.3,807.05,995.32,1086.14,800.63,756.77,1278.24,916.94,1308.55,1301.01,1351.83,896.7,664.78,1055.46,936.23,755.74,810.51,586.73,1319.65,1345.42,632.78,1245.05,1418.02,553.92,1164.23,746.58,1104.49,1261.87,1388.95,1331.15,683.38,1263.94,662.58,485.89,1308.74,1362.18,1249.89,1307.53,797.93,727.81
2020,863.21,1182.76,888.67,432.09,994.73,601.08,761.97,1245.15,1243.22,1322.34,933.89,1171.43,884.64,769.33,1004.17,1110.78,796.73,829.05,1265.03,988.88,1321.55,1271.43,1283.57,974.47,666.72,1097.26,955.16,763.72,816.95,585.17,1293.96,1240.13,622.23,1200.35,1321.87,573.2,1154.59,774.07,1010.52,1234.18,1226.71,1207.23,713.26,1246.14,728.86,555.82,1293.66,1334.09,1164.67,1283.53,856.15,720.75
2021,867.54,1208.83,909.47,413.87,1055.92,573.04,734.11,1286.27,1277.13,1280.35,1022.24,1199.28,669.63,749.6,905.65,1056.42,811.93,809.59,1239.18,1002.37,1371.06,1279.42,1356.93,936,717.94,1121.63,917.75,744.46,785.61,602.78,1335.11,1268.17,650.67,1226.23,1306.99,604.55,1183.84,836.32,1051.05,1239.24,1337.53,1248.12,707.89,1239.03,734.87,561.37,1305.09,1281.7,1131.95,1285.94,834.23,725.92
2022,886.26,1304.1,894.01,433.75,1100,618.41,787.01,1356.9,1315.8,1370.22,1069,1316.72,646.13,772.92,998.05,1137.77,825.82,834.04,1394.56,1040.15,1335.16,1347.27,1394.56,924.25,675.9,1223.28,971.92,733.92,809.58,613.19,1395.51,1367.59,636.14,1323.48,1453.89,570.95,1226.97,790.63,1053.15,1324.66,1390.19,1408.61,688.81,1423.18,736.91,559.76,1394.28,1370.54,1066.23,1305.41,822.83,725.47
