points,price,province,variety,winery,Precipitation,Temperature
87,14.0,Oregon,Pinot Gris,Rainstorm,440.1,8.68
87,20.0,Oregon,Pinot Noir,Acrobat,440.1,8.68
92,48.0,Oregon,Pinot Noir,WillaKenzie Estate,440.1,8.68
92,70.0,Oregon,Pinot Noir,Stoller,440.1,8.68
90,85.0,Oregon,Pinot Noir,Beacon Hill,440.1,8.68
90,40.0,Oregon,Pinot Noir,Carabella,440.1,8.68
87,40.0,Oregon,Chardonnay,Chehalem,440.1,8.68
88,13.0,Oregon,Pinot Gris,Firesteed,440.1,8.68
89,40.0,Oregon,Pinot Noir,Purple Hands,440.1,8.68
85,16.0,Oregon,Chardonnay,Wildewood,440.1,8.68
84,25.0,Oregon,Pinot Noir,Wildewood,440.1,8.68
84,19.0,Oregon,Pinot Noir,Wine by Joe,440.1,8.68
87,28.0,Oregon,RhÃ´ne-style White Blend,Simple Machine,440.1,8.68
95,32.0,Oregon,Riesling,Trisaetum,440.1,8.68
86,39.0,Oregon,Pinot Noir,Reustle,440.1,8.68
87,38.0,Oregon,Pinot Noir,Le Cadeau,440.1,8.68
87,25.0,Oregon,Red Blend,Plaisance Ranch,440.1,8.68
86,39.0,Oregon,Pinot Noir,Reustle,440.1,8.68
90,55.0,Oregon,Pinot Noir,Willamette Valley Vineyards,440.1,8.68
85,32.0,Oregon,Tempranillo,Weisinger,440.1,8.68
91,80.0,Oregon,Pinot Noir,Sokol Blosser,440.1,8.68
87,22.0,Oregon,Pinot Noir,Coeur de Terre,440.1,8.68
87,20.0,Oregon,Pinot Noir,Silvan Ridge,440.1,8.68
87,30.0,Oregon,Malbec,Ledger David,440.1,8.68
87,22.0,Oregon,Pinot Blanc,Amity,440.1,8.68
87,10.0,Oregon,Riesling,Oak Knoll,440.1,8.68
87,20.0,Oregon,RosÃ©,Coeur de Terre,440.1,8.68
88,20.0,Oregon,Zinfandel,Troon,440.1,8.68
92,60.0,Oregon,Pinot Noir,Winderlea,440.1,8.68
92,48.0,Oregon,Pinot Noir,Angela Estate,440.1,8.68
92,85.0,Oregon,Pinot Noir,Archery Summit,440.1,8.68
92,85.0,Oregon,Pinot Noir,Archery Summit,440.1,8.68
92,60.0,Oregon,Pinot Noir,Bethel Heights,440.1,8.68
92,45.0,Oregon,Pinot Noir,Panther Creek,440.1,8.68
90,26.0,Oregon,Pinot Noir,Colene Clemens,440.1,8.68
93,65.0,Oregon,Syrah,Delmas,440.1,8.68
82,35.0,Oregon,Syrah,Del Rio,440.1,8.68
87,33.0,Oregon,Pinot Noir,Fullerton,440.1,8.68
87,16.0,Oregon,Pinot Noir,Primarius,440.1,8.68
92,60.0,Oregon,Pinot Noir,BergstrÃ¶m,440.1,8.68
94,65.0,Oregon,Chardonnay,Domaine Drouhin Oregon,440.1,8.68
87,39.0,Oregon,Petit Verdot,Spangler,440.1,8.68
92,75.0,Oregon,Chardonnay,Domaine Serene,440.1,8.68
92,55.0,Oregon,Pinot Noir,Rex Hill,440.1,8.68
89,28.0,Oregon,Pinot Noir,SolÃ©na,440.1,8.68
92,50.0,Oregon,Pinot Noir,The Eyrie Vineyards,440.1,8.68
86,14.0,Oregon,Pinot Gris,Foris,440.1,8.68
85,25.0,Oregon,Viognier,Abacela,440.1,8.68
90,37.0,Oregon,Pinot Noir,Antiquum Farm,440.1,8.68
90,28.0,Oregon,Chardonnay,Bethel Heights,440.1,8.68
90,48.0,Oregon,Pinot Noir,Winderlea,440.1,8.68
90,50.0,Oregon,MourvÃ¨dre,Rasa,440.1,8.68
90,45.0,Oregon,Syrah,W.T. Vintners,440.1,8.68
93,60.0,Oregon,Chardonnay,Territorial,440.1,8.68
87,20.0,Oregon,Pinot Noir,Silvan Ridge,440.1,8.68
91,55.0,Oregon,Pinot Noir,Raptor Ridge,440.1,8.68
91,40.0,Oregon,Chardonnay,Roco,440.1,8.68
91,30.0,Oregon,Pinot Noir,Stoller,440.1,8.68
91,37.0,Oregon,Pinot Noir,Nefarious,440.1,8.68
91,50.0,Oregon,Pinot Noir,Vidon Vineyard,440.1,8.68
90,45.0,Oregon,Chardonnay,Hyland,440.1,8.68
89,60.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
89,30.0,Oregon,Pinot Noir,R. Stuart & Co.,440.1,8.68
89,28.0,Oregon,Pinot Noir,Alchemist,440.1,8.68
91,34.0,Oregon,Chardonnay,Phelps Creek,440.1,8.68
90,20.0,Oregon,Pinot Gris,Lumos,440.1,8.68
90,20.0,Oregon,Pinot Noir,The Eyrie Vineyards,440.1,8.68
90,18.0,Oregon,Pinot Gris,Lange,440.1,8.68
90,19.0,Oregon,Pinot Blanc,Elk Cove,440.1,8.68
88,35.0,Oregon,Pinot Noir,Rex Hill,440.1,8.68
90,22.0,Oregon,Pinot Noir,Monte Ferro,440.1,8.68
92,26.0,Oregon,Riesling,Paul O'Brien,440.1,8.68
91,19.0,Oregon,Pinot Gris,Elk Cove,440.1,8.68
91,60.0,Oregon,Pinot Noir,Sokol Blosser,440.1,8.68
94,55.0,Oregon,Pinot Noir,St. Innocent,440.1,8.68
89,24.0,Oregon,Syrah,Grizzly Peak,440.1,8.68
89,45.0,Oregon,Pinot Noir,Raptor Ridge,440.1,8.68
89,28.0,Oregon,Chardonnay,Boedecker Cellars,440.1,8.68
94,22.0,Oregon,Riesling,Amity,440.1,8.68
89,19.0,Oregon,Pinot Gris,Sokol Blosser,440.1,8.68
89,14.0,Oregon,GewÃ¼rztraminer,Foris,440.1,8.68
86,15.0,Oregon,GewÃ¼rztraminer,ChÃ¢teau Bianca,440.1,8.68
87,79.0,Oregon,Pinot Noir,Chehalem,440.1,8.68
85,24.0,Oregon,Pinot Noir,River's Edge,440.1,8.68
86,12.0,Oregon,Pinot Gris,Duck Pond,440.1,8.68
92,42.0,Oregon,Pinot Noir,St. Innocent,440.1,8.68
86,25.0,Oregon,Chardonnay,Spindrift Cellars,440.1,8.68
89,16.0,Oregon,Pinot Gris,Spindrift Cellars,440.1,8.68
90,28.0,Oregon,Pinot Noir,Spindrift Cellars,440.1,8.68
85,14.0,Oregon,Pinot Gris,Oak Knoll,440.1,8.68
85,28.0,Oregon,Malbec,Kriselle,440.1,8.68
90,45.0,Oregon,Pinot Noir,Raptor Ridge,440.1,8.68
90,70.0,Oregon,Pinot Noir,Sokol Blosser,440.1,8.68
88,35.0,Oregon,Chardonnay,Coelho,440.1,8.68
87,22.0,Oregon,Pinot Blanc,Amity,440.1,8.68
86,40.0,Oregon,Pinot Noir,SolÃ©na,440.1,8.68
91,34.0,Oregon,Zinfandel,Heart Catcher,440.1,8.68
86,28.0,Oregon,Sangiovese,Spangler,440.1,8.68
86,14.0,Oregon,Pinot Gris,Oak Knoll,440.1,8.68
92,24.0,Oregon,Riesling,Trisaetum,440.1,8.68
90,50.0,Oregon,Chardonnay,Amalie Robert,440.1,8.68
94,80.0,Oregon,Pinot Noir,The Eyrie Vineyards,440.1,8.68
94,55.0,Oregon,Pinot Noir,Rex Hill,440.1,8.68
89,30.0,Oregon,Pinot Noir,WillaKenzie Estate,440.1,8.68
89,29.0,Oregon,Syrah,Quady North,440.1,8.68
90,55.0,Oregon,Pinot Noir,Rex Hill,440.1,8.68
93,39.0,Oregon,Pinot Noir,Domaine J. Meuret,440.1,8.68
93,58.0,Oregon,Pinot Noir,J. Christopher,440.1,8.68
91,40.0,Oregon,Pinot Noir,Purple Hands,440.1,8.68
91,19.0,Oregon,Viognier,WildAire,440.1,8.68
91,18.0,Oregon,Pinot Gris,Vista Hills,440.1,8.68
91,29.0,Oregon,Chardonnay,Goodfellow,440.1,8.68
89,45.0,Oregon,Chardonnay,Lachini,440.1,8.68
89,25.0,Oregon,Cabernet Franc,Leah JÃ¸rgensen Cellars,440.1,8.68
89,25.0,Oregon,Syrah,Plaisance Ranch,440.1,8.68
88,17.0,Oregon,Pinot Noir,Redhawk,440.1,8.68
90,65.0,Oregon,Pinot Noir,Torii Mor,440.1,8.68
90,30.0,Oregon,Pinot Noir,Arbor Brook,440.1,8.68
90,35.0,Oregon,Pinot Noir,Aubichon Cellars,440.1,8.68
90,50.0,Oregon,Pinot Noir,Le Cadeau,440.1,8.68
94,75.0,Oregon,Chardonnay,Domaine Serene,440.1,8.68
81,38.0,Oregon,Cabernet Sauvignon,Cathedral Ridge,440.1,8.68
83,15.0,Oregon,Pinot Gris,Lundeen,440.1,8.68
82,27.0,Oregon,Grenache,Reustle,440.1,8.68
90,15.0,Oregon,Riesling,A to Z,440.1,8.68
87,35.0,Oregon,Tempranillo,Delfino,440.1,8.68
86,40.0,Oregon,Pinot Noir,Weisinger,440.1,8.68
90,48.0,Oregon,Pinot Noir,Quintet,440.1,8.68
90,45.0,Oregon,Pinot Noir,Raptor Ridge,440.1,8.68
91,15.0,Oregon,Chardonnay,Lujon,440.1,8.68
85,33.0,Oregon,Red Blend,Ledger David,440.1,8.68
84,28.0,Oregon,Cabernet Franc,Spangler,440.1,8.68
84,28.0,Oregon,Cabernet Sauvignon,Spangler,440.1,8.68
86,48.0,Oregon,Cabernet Sauvignon,Weisinger,440.1,8.68
93,36.0,Oregon,Pinot Noir,St. Innocent,440.1,8.68
92,60.0,Oregon,Pinot Noir,Shea,440.1,8.68
92,80.0,Oregon,Pinot Noir,Le Cadeau,440.1,8.68
92,50.0,Oregon,Pinot Noir,Saffron Fields Vineyard,440.1,8.68
92,60.0,Oregon,Pinot Noir,Adelsheim,440.1,8.68
88,13.0,Oregon,Pinot Gris,Lujon,440.1,8.68
88,19.0,Oregon,RosÃ©,Adelsheim,440.1,8.68
91,23.0,Oregon,Pinot Blanc,Vercingetorix VX,440.1,8.68
90,17.0,Oregon,Pinot Blanc,J. Scott Cellars,440.1,8.68
90,18.0,Oregon,Chardonnay,Lange,440.1,8.68
91,39.0,Oregon,Pinot Noir,Scott Paul,440.1,8.68
91,55.0,Oregon,Pinot Noir,Willamette Valley Vineyards,440.1,8.68
91,48.0,Oregon,Pinot Noir,William Hatcher,440.1,8.68
91,55.0,Oregon,Pinot Noir,Aubichon Cellars,440.1,8.68
91,32.0,Oregon,Pinot Noir,Adelsheim,440.1,8.68
91,60.0,Oregon,Pinot Noir,Etude,440.1,8.68
91,48.0,Oregon,Pinot Noir,Ayoub,440.1,8.68
88,18.0,Oregon,Pinot Gris,Lumos,440.1,8.68
90,30.0,Oregon,Pinot Noir,Willamette Valley Vineyards,440.1,8.68
90,40.0,Oregon,Pinot Noir,SolÃ©na,440.1,8.68
89,33.0,Oregon,Chardonnay,Anam Cara,440.1,8.68
89,35.0,Oregon,Chardonnay,Aubichon Cellars,440.1,8.68
89,33.0,Oregon,Pinot Noir,Laelaps,440.1,8.68
90,45.0,Oregon,Pinot Noir,Carlton Hill,440.1,8.68
89,28.0,Oregon,Chardonnay,Alchemist,440.1,8.68
90,45.0,Oregon,Chardonnay,Knudsen,440.1,8.68
87,30.0,Oregon,Pinot Noir,Portlandia,440.1,8.68
85,20.0,Oregon,Riesling,Van Duzer,440.1,8.68
90,21.0,Oregon,Pinot Blanc,WillaKenzie Estate,440.1,8.68
