province,year,variety,points
Sicilia,2013,White Blend,87
Oregon,2013,Pinot Gris,87
Oregon,2012,Pinot Noir,87
Sicilia,2013,Frappato,87
Alsace,2012,Gewürztraminer,87
Alsace,2012,Pinot Gris,87
California,2011,Cabernet Sauvignon,87
Alsace,2012,Gewürztraminer,87
California,2012,Cabernet Sauvignon,87
Sicilia,2012,Nerello Mascalese,87
California,2012,Chardonnay,87
Oregon,2013,Pinot Noir,87
Sicilia,2007,White Blend,87
California,2011,Merlot,87
Sicilia,2009,Nero d'Avola,87
California,2011,Pinot Noir,87
Sicilia,2013,White Blend,87
Sicilia,2013,Nero d'Avola,87
Sicilia,2011,Red Blend,87
California,2010,Chenin Blanc,86
Sicilia,2010,Red Blend,86
Sicilia,2011,White Blend,86
California,2010,Red Blend,86
California,2011,Sauvignon Blanc,86
Oregon,2010,Pinot Noir,86
Sicilia,2010,Cabernet Sauvignon,86
Sicilia,2011,Nero d'Avola,86
Sicilia,2011,Catarratto,86
Oregon,2009,Pinot Noir,86
California,2011,Sauvignon Blanc,86
Sicilia,2011,Inzolia,86
California,2011,Riesling,86
Sicilia,2008,Red Blend,86
Sicilia,2010,Monica,85
Aquitaine,2011,Bordeaux-style White Blend,85
Sicilia,2010,Red Blend,85
California,2010,Chardonnay,85
California,2010,Chardonnay,85
Sicilia,2011,Grillo,85
Washington,2014,Malbec,86
California,2013,Cabernet Sauvignon,86
Washington,2014,Cabernet Franc,86
California,2015,Sauvignon Blanc,86
Burgundy,2015,Chardonnay,86
Burgundy,2015,Chardonnay,86
Washington,2013,Bordeaux-style Red Blend,86
California,2014,Red Blend,86
Washington,2014,Chardonnay,86
California,2013,Cabernet Sauvignon,86
California,2013,Cabernet Sauvignon,86
California,2012,Petite Sirah,86
California,2013,Bordeaux-style Red Blend,86
Oregon,2015,Pinot Noir,86
California,2014,Zinfandel,86
Washington,2016,Albariño,86
California,2014,Merlot,86
Tuscany,2014,Vernaccia,86
Tuscany,2015,Rosato,88
California,2014,Red Blend,88
California,2015,Pinot Gris,88
California,2013,Meritage,88
Washington,2014,Viognier,88
New York,2015,Riesling,88
Tuscany,2010,Sangiovese,88
California,2013,Bordeaux-style Red Blend,88
New York,2015,Pinot Gris,88
New York,2014,Riesling,87
New York,2014,Riesling,87
Tuscany,2014,Red Blend,87
Tuscany,2015,White Blend,87
Tuscany,2014,Red Blend,87
Tuscany,2015,Vermentino,87
California,2014,Zinfandel,87
Tuscany,2014,Red Blend,87
California,2013,Cabernet Sauvignon,87
Tuscany,2014,Red Blend,87
Tuscany,2015,White Blend,87
California,2012,Bordeaux-style Red Blend,87
California,2013,Chardonnay,87
California,2013,Grenache Blanc,87
California,2014,Syrah,87
Tuscany,2013,Red Blend,87
Alsace,2004,Riesling,92
Piedmont,2003,Nebbiolo,92
California,2007,Chardonnay,92
California,2007,Zinfandel,92
California,2006,Cabernet Sauvignon,92
Alsace,2007,Gewürztraminer,91
Alsace,2008,White Blend,91
Alsace,2008,Pinot Blanc,91
Piedmont,2003,Nebbiolo,91
