Prov_Weather,Year_Weather,Precipitation,Temperature,Timeseries
Alsace,1901,864.18,8.41,Historical
Alsace,1902,737.39,8.57,Historical
Alsace,1903,757.38,8.9,Historical
Alsace,1904,704.56,9.39,Historical
Alsace,1905,840.87,8.72,Historical
Alsace,1906,729.49,8.87,Historical
Alsace,1907,670.79,8.84,Historical
Alsace,1908,791.57,8.53,Historical
Alsace,1909,824.61,8.3,Historical
Alsace,1910,1021.54,9.06,Historical
Alsace,1911,681.22,10.04,Historical
Alsace,1912,827.35,8.97,Historical
Alsace,1913,808.71,9.45,Historical
Alsace,1914,991.68,9.12,Historical
Alsace,1915,846.23,9.02,Historical
Alsace,1916,1016.31,9.42,Historical
Alsace,1917,868.94,8.44,Historical
Alsace,1918,806.95,9.48,Historical
Alsace,1919,809.87,8.68,Historical
Alsace,1920,699.3,9.91,Historical
Alsace,1921,549.46,10.21,Historical
Alsace,1922,1080.92,8.68,Historical
Alsace,1923,892.08,9.53,Historical
Alsace,1924,817.95,8.95,Historical
Alsace,1925,863.09,9.19,Historical
Alsace,1926,815.71,9.72,Historical
Alsace,1927,928.57,9.39,Historical
Alsace,1928,801.62,9.82,Historical
Alsace,1929,684.32,9.03,Historical
Alsace,1930,1023.34,9.78,Historical
Alsace,1931,974.75,8.57,Historical
Alsace,1932,826.15,9.15,Historical
Alsace,1933,713.32,8.75,Historical
Alsace,1934,656.07,10.08,Historical
Alsace,1935,925.16,9.24,Historical
Alsace,1936,913.25,9.39,Historical
Alsace,1937,874.56,9.67,Historical
Alsace,1938,783.62,9.36,Historical
Alsace,1939,1118.03,9.12,Historical
Alsace,1940,947.85,8.2,Historical
Alsace,1941,803.33,8.45,Historical
Alsace,1942,750.07,8.94,Historical
Alsace,1943,644.7,10.13,Historical
Alsace,1944,833.26,9.07,Historical
Alsace,1945,745.12,10.01,Historical
Alsace,1946,770.79,9.66,Historical
Alsace,1947,661.33,10.46,Historical
Alsace,1948,814.71,10.16,Historical
Alsace,1949,546.83,10.41,Historical
Alsace,1950,905.45,10.0,Historical
Alsace,1951,916.78,9.57,Historical
Alsace,1952,955.89,9.4,Historical
Alsace,1953,587.76,9.63,Historical
Alsace,1954,877.67,8.86,Historical
Alsace,1955,819.36,8.88,Historical
Alsace,1956,828.45,8.21,Historical
Alsace,1957,744.89,9.55,Historical
Alsace,1958,951.4,9.43,Historical
Alsace,1959,695.28,10.19,Historical
Alsace,1960,921.96,9.48,Historical
Alsace,1961,802.16,10.22,Historical
Alsace,1962,662.82,8.41,Historical
Alsace,1963,794.81,8.26,Historical
Alsace,1964,634.62,9.52,Historical
Alsace,1965,1055.25,8.59,Historical
Alsace,1966,942.36,9.58,Historical
Alsace,1967,828.5,9.58,Historical
Alsace,1968,1020.86,9.04,Historical
Alsace,1969,829.59,8.9,Historical
Alsace,1970,946.84,8.91,Historical
Alsace,1971,617.94,9.29,Historical
Alsace,1972,745.29,8.84,Historical
Alsace,1973,755.99,9.13,Historical
Alsace,1974,831.55,9.76,Historical
Alsace,1975,838.18,9.64,Historical
Alsace,1976,641.05,9.72,Historical
Alsace,1977,934.79,9.67,Historical
Alsace,1978,895.16,8.77,Historical
