Province,Year,Historical Precip,Historical Temp
Cantabria,1901,953.56,10.02
Cantabria,1902,960.72,10.2
Cantabria,1903,909.01,10.38
Cantabria,1904,834.29,10.69
Cantabria,1905,798.84,10.01
Cantabria,1906,989.48,10.43
Cantabria,1907,945.99,10.24
Cantabria,1908,1050.43,10.51
Cantabria,1909,857.31,9.97
Cantabria,1910,1038.96,10.15
Cantabria,1911,967.63,10.57
Cantabria,1912,745.51,10.26
Cantabria,1913,968.79,10.61
Cantabria,1914,934.38,10.34
Cantabria,1915,1080.57,10.31
Cantabria,1916,946.48,10.43
Cantabria,1917,990.15,9.77
Cantabria,1918,989.7,10.33
Cantabria,1919,1272.56,10.14
Cantabria,1920,682.44,10.6
Cantabria,1921,705.4,10.94
Cantabria,1922,885.63,10.27
Cantabria,1923,1045.75,10.66
Cantabria,1924,792.97,10.59
Cantabria,1925,956.15,10.0
Cantabria,1926,929.6,11.24
Cantabria,1927,1162.46,10.73
Cantabria,1928,939.64,10.92
Cantabria,1929,946.06,10.77
Cantabria,1930,1078.16,10.92
Cantabria,1931,924.15,10.43
Cantabria,1932,1046.87,10.24
Cantabria,1933,1058.91,10.59
Cantabria,1934,1005.74,10.62
Cantabria,1935,1120.43,10.23
Cantabria,1936,1349.88,10.35
Cantabria,1937,1217.86,10.95
Cantabria,1938,913.83,10.54
Cantabria,1939,1101.41,10.41
Cantabria,1940,1221.16,10.4
Cantabria,1941,1167.94,10.08
Cantabria,1942,994.22,10.62
Cantabria,1943,924.78,11.16
Cantabria,1944,814.2,10.49
Cantabria,1945,828.26,11.38
Cantabria,1946,942.68,10.49
Cantabria,1947,1001.51,11.36
Cantabria,1948,788.37,11.34
Cantabria,1949,926.99,11.41
Cantabria,1950,879.83,10.94
Cantabria,1951,1124.28,10.53
Cantabria,1952,1112.64,11.06
Cantabria,1953,816.36,10.85
Cantabria,1954,909.35,10.49
Cantabria,1955,1092.11,11.43
Cantabria,1956,954.12,10.11
Cantabria,1957,726.48,10.76
Cantabria,1958,1010.53,11.07
Cantabria,1959,1267.19,11.37
Cantabria,1960,1238.51,10.96
Cantabria,1961,1070.83,11.74
Cantabria,1962,940.38,10.73
Cantabria,1963,1036.08,10.26
Cantabria,1964,883.95,11.05
Cantabria,1965,1069.99,10.71
Cantabria,1966,1168.22,11.21
Cantabria,1967,952.35,10.9
Cantabria,1968,983.46,11.17
Cantabria,1969,1064.88,10.46
Cantabria,1970,867.19,10.91
Cantabria,1971,1141.53,10.4
Cantabria,1972,1148.49,10.15
Cantabria,1973,932.25,10.71
Cantabria,1974,1005.73,10.6
Cantabria,1975,1043.29,10.74
Cantabria,1976,974.37,11.0
Cantabria,1977,1154.74,10.84
Cantabria,1978,1085.11,10.87
Cantabria,1979,1303.0,10.9
Cantabria,1980,1026.3,10.5
Cantabria,1981,879.59,11.41
Cantabria,1982,905.0,11.57
Cantabria,1983,899.23,11.37
Cantabria,1984,1108.78,10.7
Cantabria,1985,872.68,11.1
Cantabria,1986,889.72,11.06
Cantabria,1987,945.91,11.42
Cantabria,1988,897.82,11.44
Cantabria,1989,875.46,12.41
Cantabria,1990,857.72,12.23
Cantabria,1991,832.0,11.32
Cantabria,1992,1004.45,11.38
Cantabria,1993,930.67,11.06
Cantabria,1994,928.19,12.07
Cantabria,1995,884.2,12.36
Cantabria,1996,1198.53,11.4
Cantabria,1997,1300.26,12.55
Cantabria,1998,803.48,11.82
Cantabria,1999,1008.88,11.92
Cantabria,2000,1071.07,11.87
Cantabria,2001,897.07,11.72
Cantabria,2002,1016.97,11.95
Cantabria,2003,1049.95,12.32
Cantabria,2004,915.15,11.76
Cantabria,2005,829.92,11.77
Cantabria,2006,906.75,12.49
Cantabria,2007,886.6,11.66
Cantabria,2008,1098.09,11.56
Cantabria,2009,935.85,12.28
Cantabria,2010,982.22,11.4
Cantabria,2011,770.93,12.55
Cantabria,2012,814.69,11.9
Cantabria,2013,1208.53,11.68
Cantabria,2014,1012.91,12.6
Cantabria,2015,867.51,12.42
Cantabria,2016,980.67,12.17
Cantabria,2017,815.23,12.54
Cantabria,2018,1135.12,12.35
Cantabria,2019,1078.83,12.47
Cantabria,2020,969.82,12.82
