Province,Year,Historical Precip,Historical Temp
California,1901,557.73,13.56
California,1902,614.28,13.0
California,1903,503.5,13.11
California,1904,701.05,13.7
California,1905,529.42,13.35
California,1906,836.31,13.46
California,1907,676.8,13.07
California,1908,459.32,12.96
California,1909,871.01,12.83
California,1910,383.03,13.61
California,1911,612.9,12.34
California,1912,486.47,12.61
California,1913,562.68,12.93
California,1914,663.47,13.49
California,1915,668.46,13.25
California,1916,687.01,12.74
California,1917,356.06,13.27
California,1918,537.16,13.23
California,1919,463.45,12.96
California,1920,570.47,12.74
California,1921,570.01,13.39
California,1922,627.97,12.81
California,1923,341.04,13.12
California,1924,402.66,13.41
California,1925,497.83,13.46
California,1926,611.53,14.42
California,1927,644.84,13.44
California,1928,429.95,13.88
California,1929,336.08,13.6
California,1930,433.57,13.53
California,1931,613.28,14.24
California,1932,383.15,13.33
California,1933,481.67,13.16
California,1934,472.17,14.76
California,1935,566.58,13.25
California,1936,647.12,14.11
California,1937,719.42,13.47
California,1938,738.21,13.4
California,1939,412.72,13.94
California,1940,864.07,14.24
California,1941,943.35,13.45
California,1942,572.01,13.38
California,1943,600.43,13.78
California,1944,598.01,13.01
California,1945,680.31,13.41
California,1946,453.29,13.17
California,1947,332.89,13.61
California,1948,501.78,12.57
California,1949,391.07,13.0
California,1950,639.01,13.8
California,1951,610.9,13.29
California,1952,751.77,13.16
California,1953,424.09,13.32
California,1954,601.11,13.43
California,1955,563.52,12.83
California,1956,456.37,13.19
California,1957,614.86,13.42
California,1958,722.86,14.4
California,1959,393.57,14.37
California,1960,543.88,13.86
California,1961,420.96,13.71
California,1962,567.66,13.39
California,1963,644.18,13.29
California,1964,551.01,13.05
California,1965,608.44,13.11
California,1966,478.14,13.83
California,1967,624.79,13.63
California,1968,527.86,13.69
California,1969,806.05,13.59
California,1970,706.23,13.78
California,1971,444.56,12.91
California,1972,431.54,13.48
California,1973,739.55,13.5
California,1974,560.57,13.68
California,1975,518.87,12.87
California,1976,359.1,13.59
California,1977,459.39,13.95
California,1978,788.05,13.83
California,1979,647.47,13.86
California,1980,608.41,13.88
California,1981,659.12,14.49
California,1982,835.0,12.88
California,1983,1124.15,13.76
California,1984,473.18,14.11
California,1985,389.54,13.45
California,1986,607.82,14.34
California,1987,529.93,14.0
California,1988,455.48,14.21
California,1989,380.58,13.76
California,1990,368.71,13.78
California,1991,513.2,13.82
California,1992,650.1,14.51
California,1993,703.97,13.76
California,1994,473.83,13.91
California,1995,847.45,14.48
California,1996,806.16,14.77
California,1997,545.6,14.15
California,1998,899.99,13.11
California,1999,452.91,13.34
California,2000,581.38,13.85
California,2001,640.45,14.1
California,2002,477.8,13.87
California,2003,575.96,14.48
California,2004,615.99,14.32
California,2005,762.09,14.22
California,2006,604.0,14.2
California,2007,361.29,14.17
California,2008,447.72,14.04
California,2009,425.63,14.07
California,2010,742.42,13.86
California,2011,489.67,13.43
California,2012,615.98,14.43
California,2013,217.4,14.27
California,2014,523.14,15.77
California,2015,414.75,15.42
California,2016,637.88,15.08
California,2017,665.46,15.08
California,2018,504.09,14.97
California,2019,741.23,14.52
California,2020,329.87,15.18
New York,1901,1096.04,6.65
New York,1902,1089.88,6.75
New York,1903,1103.9,6.75
New York,1904,987.93,5.21
New York,1905,1029.31,6.3
New York,1906,976.17,7.06
New York,1907,976.79,5.87
New York,1908,862.1,7.1
New York,1909,933.77,6.64
New York,1910,970.48,6.75
New York,1911,945.14,7.22
New York,1912,995.07,6.21
New York,1913,992.95,7.94
New York,1914,925.59,6.19
New York,1915,1035.16,7.05
New York,1916,976.66,6.68
New York,1917,997.96,5.2
New York,1918,1009.56,6.75
New York,1919,988.09,7.48
New York,1920,1008.12,6.57
New York,1921,896.84,8.47
New York,1922,972.35,7.4
New York,1923,873.89,6.51
New York,1924,944.34,6.03
New York,1925,1035.04,6.94
New York,1926,999.46,5.58
New York,1927,1103.19,7.22
New York,1928,965.87,7.09
New York,1929,1058.4,6.99
New York,1930,800.2,7.55
New York,1931,934.67,8.38
New York,1932,1058.26,7.66
New York,1933,926.02,7.64
New York,1934,862.11,6.73
New York,1935,942.12,6.58
New York,1936,998.85,7.05
New York,1937,1092.77,7.61
New York,1938,1030.07,7.91
New York,1939,862.72,7.19
New York,1940,1009.46,5.97
New York,1941,796.6,7.62
New York,1942,1094.43,7.42
New York,1943,985.45,6.44
New York,1944,934.81,7.26
New York,1945,1245.8,7.21
New York,1946,946.84,7.89
New York,1947,1086.99,7.34
New York,1948,1026.72,7.31
New York,1949,908.39,8.7
New York,1950,1069.48,7.05
New York,1951,1104.67,7.53
New York,1952,995.26,8.02
New York,1953,968.57,8.7
New York,1954,1101.53,7.53
New York,1955,992.03,7.73
New York,1956,1002.9,6.85
New York,1957,870.77,7.73
New York,1958,1048.21,6.46
New York,1959,1047.27,7.76
New York,1960,922.8,7.1
New York,1961,964.71,7.32
New York,1962,910.05,6.66
New York,1963,825.4,6.56
New York,1964,775.12,7.49
New York,1965,835.73,6.84
New York,1966,883.11,6.99
New York,1967,984.62,6.85
New York,1968,1000.83,6.87
New York,1969,973.96,7.01
New York,1970,955.38,6.97
New York,1971,974.28,7.12
New York,1972,1245.39,6.46
New York,1973,1089.03,8.27
New York,1974,1032.76,7.1
New York,1975,1145.61,7.79
New York,1976,1180.25,6.56
New York,1977,1236.74,7.26
New York,1978,952.42,6.32
New York,1979,1060.64,7.29
New York,1980,899.23,6.75
New York,1981,1002.71,7.26
New York,1982,933.98,7.08
New York,1983,1143.46,7.72
New York,1984,1055.64,7.52
New York,1985,964.27,7.29
New York,1986,1116.78,7.45
New York,1987,981.46,7.78
New York,1988,873.23,7.34
New York,1989,1075.73,6.82
New York,1990,1245.17,8.65
New York,1991,927.54,8.59
New York,1992,1063.5,6.76
New York,1993,1038.52,7.0
New York,1994,1064.88,7.17
New York,1995,923.95,7.65
New York,1996,1249.17,7.2
New York,1997,960.45,6.88
New York,1998,1036.09,9.06
New York,1999,967.49,8.37
New York,2000,1165.9,7.04
New York,2001,870.44,8.16
New York,2002,1113.14,8.24
New York,2003,1196.14,6.86
New York,2004,1135.52,7.17
New York,2005,1136.95,7.85
New York,2006,1221.93,8.7
New York,2007,1106.5,7.75
New York,2008,1205.9,7.69
New York,2009,1056.43,7.25
New York,2010,1093.54,8.59
New York,2011,1357.96,8.51
New York,2012,1024.42,9.49
New York,2013,1170.83,7.87
New York,2014,1113.08,7.31
New York,2015,1065.28,8.01
New York,2016,927.62,9.03
New York,2017,1211.94,8.65
New York,2018,1287.17,8.37
New York,2019,1197.89,8.04
New York,2020,1048.49,9.18
Oregon,1901,633.49,8.14
Oregon,1902,761.98,7.81
Oregon,1903,613.18,7.61
Oregon,1904,781.7,8.48
Oregon,1905,519.09,8.12
Oregon,1906,693.98,8.55
Oregon,1907,765.86,8.23
Oregon,1908,512.62,8.03
Oregon,1909,753.67,7.64
Oregon,1910,607.49,8.28
Oregon,1911,523.23,7.3
Oregon,1912,777.69,7.64
Oregon,1913,647.28,7.5
Oregon,1914,610.64,8.48
Oregon,1915,652.97,8.58
Oregon,1916,716.03,6.94
Oregon,1917,602.98,8.02
Oregon,1918,534.4,8.5
Oregon,1919,668.99,7.63
Oregon,1920,648.4,7.69
Oregon,1921,663.75,8.27
Oregon,1922,587.47,7.35
Oregon,1923,590.13,8.16
Oregon,1924,514.13,8.03
Oregon,1925,578.74,8.92
Oregon,1926,649.37,9.31
Oregon,1927,725.24,7.93
Oregon,1928,526.05,8.4
Oregon,1929,468.67,7.7
Oregon,1930,453.94,7.78
Oregon,1931,592.12,8.53
Oregon,1932,612.67,7.81
Oregon,1933,625.88,8.12
Oregon,1934,603.12,10.2
Oregon,1935,463.83,7.92
Oregon,1936,538.47,8.65
Oregon,1937,805.24,7.99
Oregon,1938,625.07,8.59
Oregon,1939,477.33,9.11
Oregon,1940,725.9,9.42
Oregon,1941,720.76,9.01
Oregon,1942,761.53,8.31
Oregon,1943,592.92,8.16
Oregon,1944,494.48,8.03
Oregon,1945,757.68,8.41
Oregon,1946,629.57,8.11
Oregon,1947,621.52,8.71
Oregon,1948,783.83,7.25
Oregon,1949,479.79,7.81
Oregon,1950,803.94,8.1
Oregon,1951,713.63,8.06
Oregon,1952,543.62,8.02
Oregon,1953,817.79,8.62
Oregon,1954,608.31,7.97
Oregon,1955,723.94,7.07
Oregon,1956,699.47,7.81
Oregon,1957,704.83,7.88
Oregon,1958,712.29,9.62
Oregon,1959,531.39,8.41
Oregon,1960,681.94,8.26
