Province,Year,Projected Precip,Projected Temp
Alsace,2006,1236.97,9.51
Alsace,2007,1250.6,9.61
Alsace,2008,1233.63,9.83
Alsace,2009,1274.26,10.06
Alsace,2010,1284.61,9.38
Alsace,2011,1305.24,9.75
Alsace,2012,1255.77,9.4
Alsace,2013,1337.38,9.37
Alsace,2014,1339.81,9.69
Alsace,2015,1188.87,9.79
Alsace,2016,1259.09,10.09
Alsace,2017,1366.39,9.77
Alsace,2018,1280.44,9.72
Alsace,2019,1354.09,9.84
Alsace,2020,1339.55,9.58
Alsace,2021,1349.72,9.87
Alsace,2022,1245.91,10.09
Alsace,2023,1244.48,9.73
Alsace,2024,1258.42,9.87
Alsace,2025,1306.19,9.62
Alsace,2026,1343.24,10.03
Alsace,2027,1265.35,9.74
Alsace,2028,1231.98,9.67
Alsace,2029,1221.74,9.92
Alsace,2030,1273.88,9.87
Alsace,2031,1327.4,10.21
Alsace,2032,1262.59,9.76
Alsace,2033,1359.25,10.27
Alsace,2034,1320.18,9.94
Alsace,2035,1250.67,10.13
Alsace,2036,1374.99,10.07
Alsace,2037,1283.47,10.11
Alsace,2038,1274.56,10.08
Alsace,2039,1333.24,10.46
Alsace,2040,1233.88,10.28
Alsace,2041,1270.13,10.55
Alsace,2042,1247.34,10.29
Alsace,2043,1279.02,10.76
Alsace,2044,1313.02,10.31
Alsace,2045,1243.8,10.48
Alsace,2046,1281.89,10.4
Alsace,2047,1200.97,10.97
Alsace,2048,1236.94,10.73
Alsace,2049,1315.94,10.43
Alsace,2050,1275.82,10.59
Alsace,2051,1316.76,10.72
Alsace,2052,1337.82,10.71
Alsace,2053,1268.11,10.99
Alsace,2054,1326.08,10.9
Alsace,2055,1331.67,11.02
Alsace,2056,1268.86,10.97
Alsace,2057,1368.48,11.04
Alsace,2058,1207.48,11.09
Alsace,2059,1287.1,11.03
Alsace,2060,1347.73,11.09
Alsace,2061,1315.89,10.86
Alsace,2062,1244.22,10.82
Alsace,2063,1318.1,10.58
Alsace,2064,1223.48,11.14
Alsace,2065,1302.61,11.14
Alsace,2066,1291.0,11.22
Alsace,2067,1304.85,11.44
Alsace,2068,1268.35,11.42
Alsace,2069,1273.47,11.56
Alsace,2070,1338.54,11.28
Alsace,2071,1354.4,11.24
Alsace,2072,1262.95,10.78
Alsace,2073,1288.15,11.1
Alsace,2074,1290.52,11.23
Alsace,2075,1326.91,11.52
Alsace,2076,1298.92,11.55
Alsace,2077,1291.9,11.5
Alsace,2078,1293.74,11.64
Alsace,2079,1241.8,12.03
Alsace,2080,1183.75,11.78
Alsace,2081,1273.84,11.95
Alsace,2082,1193.48,11.79
Alsace,2083,1293.56,11.82
Alsace,2084,1305.64,11.89
Alsace,2085,1406.45,11.89
Alsace,2086,1237.74,12.03
Alsace,2087,1266.85,12.47
Alsace,2088,1231.98,12.15
Alsace,2089,1246.3,12.49
Alsace,2090,1143.84,12.08
Alsace,2091,1249.08,12.34
Alsace,2092,1278.65,11.99
Alsace,2093,1232.89,12.07
Alsace,2094,1270.98,12.42
Alsace,2095,1262.75,12.0
Alsace,2096,1334.14,12.36
Alsace,2097,1346.69,12.39
Alsace,2098,1329.05,12.28
Alsace,2099,1279.48,12.41
Alsace,2100,1244.0,12.1
Aquitaine,2006,951.04,13.69
Aquitaine,2007,883.44,13.56
Aquitaine,2008,946.79,13.71
Aquitaine,2009,968.9,13.75
Aquitaine,2010,1030.31,13.49
Aquitaine,2011,949.35,13.66
Aquitaine,2012,961.0,13.62
Aquitaine,2013,996.37,13.56
Aquitaine,2014,964.63,13.84
Aquitaine,2015,886.18,13.9
Aquitaine,2016,951.17,13.99
Aquitaine,2017,937.07,13.76
Aquitaine,2018,913.36,14.0
Aquitaine,2019,980.23,13.93
Aquitaine,2020,1003.77,13.66
Aquitaine,2021,1023.67,13.75
Aquitaine,2022,940.5,14.23
Aquitaine,2023,946.25,13.78
Aquitaine,2024,944.53,13.68
Aquitaine,2025,985.07,13.89
Aquitaine,2026,903.31,14.0
Aquitaine,2027,952.42,13.77
Aquitaine,2028,963.85,13.79
Aquitaine,2029,914.6,14.11
Aquitaine,2030,946.33,14.03
Aquitaine,2031,925.18,14.13
Aquitaine,2032,999.37,13.95
Aquitaine,2033,881.36,14.17
Aquitaine,2034,948.85,13.99
Aquitaine,2035,933.25,14.02
Aquitaine,2036,989.88,13.86
Aquitaine,2037,877.89,14.17
Aquitaine,2038,918.98,14.11
Aquitaine,2039,1017.85,14.31
Aquitaine,2040,915.52,14.4
Aquitaine,2041,964.02,14.31
Aquitaine,2042,962.22,14.25
Aquitaine,2043,927.87,14.37
