Province,Year,Projected Precip,Projected Temp
Piemonte,2006,965.97,10.4
Piemonte,2007,893.92,10.48
Piemonte,2008,976.72,10.61
Piemonte,2009,1036.79,10.76
Piemonte,2010,974.33,10.22
Piemonte,2011,908.75,10.57
Piemonte,2012,928.24,10.4
Piemonte,2013,1008.9,10.31
Piemonte,2014,1013.08,10.66
Piemonte,2015,946.78,10.76
Piemonte,2016,999.45,11.0
Piemonte,2017,1009.55,10.62
Piemonte,2018,974.69,10.65
Piemonte,2019,1017.86,10.85
Piemonte,2020,1007.75,10.48
Piemonte,2021,1031.47,10.86
Piemonte,2022,948.36,11.08
Piemonte,2023,1021.97,10.71
Piemonte,2024,955.51,10.76
Piemonte,2025,949.08,10.68
Piemonte,2026,965.98,11.09
Piemonte,2027,931.9,10.66
Piemonte,2028,945.62,10.62
Piemonte,2029,915.9,10.88
Piemonte,2030,938.92,10.8
Piemonte,2031,953.8,11.03
Piemonte,2032,931.57,10.7
Piemonte,2033,910.6,11.15
Piemonte,2034,1037.09,10.95
Piemonte,2035,894.61,11.05
Piemonte,2036,1083.02,10.94
Piemonte,2037,897.63,11.2
Piemonte,2038,985.94,11.12
Piemonte,2039,1060.17,11.36
Piemonte,2040,964.25,11.14
Piemonte,2041,947.16,11.28
Piemonte,2042,954.33,11.2
Piemonte,2043,958.2,11.72
Piemonte,2044,944.93,11.21
Piemonte,2045,950.19,11.35
Piemonte,2046,962.13,11.48
Piemonte,2047,913.74,11.89
Piemonte,2048,961.15,11.58
Piemonte,2049,1008.55,11.29
Piemonte,2050,938.13,11.57
Piemonte,2051,954.84,11.65
Piemonte,2052,1013.96,11.76
Piemonte,2053,943.19,11.72
Piemonte,2054,994.45,11.7
Piemonte,2055,995.48,11.89
Piemonte,2056,996.25,11.87
Piemonte,2057,1011.91,11.97
Piemonte,2058,888.99,12.0
Piemonte,2059,996.23,11.9
Piemonte,2060,971.68,11.89
Piemonte,2061,974.93,11.89
Piemonte,2062,986.26,11.89
Piemonte,2063,1001.49,11.58
Piemonte,2064,953.34,11.94
Piemonte,2065,965.16,12.1
Piemonte,2066,962.56,12.23
