Province,Year,Projected Precip,Projected Temp
Cantabria,2006,908.36,11.46
Cantabria,2007,843.88,11.32
Cantabria,2008,906.79,11.39
Cantabria,2009,924.59,11.44
Cantabria,2010,991.76,11.18
Cantabria,2011,908.72,11.34
Cantabria,2012,945.01,11.55
Cantabria,2013,913.07,11.41
Cantabria,2014,933.15,11.51
Cantabria,2015,901.47,11.53
Cantabria,2016,904.96,11.7
Cantabria,2017,864.49,11.44
Cantabria,2018,915.61,11.75
Cantabria,2019,977.44,11.53
Cantabria,2020,922.12,11.33
Cantabria,2021,952.11,11.54
Cantabria,2022,894.93,12.12
Cantabria,2023,953.66,11.41
Cantabria,2024,925.85,11.59
Cantabria,2025,873.52,11.75
Cantabria,2026,888.41,11.68
Cantabria,2027,906.45,11.54
Cantabria,2028,898.87,11.55
Cantabria,2029,877.96,11.77
Cantabria,2030,927.24,11.61
Cantabria,2031,909.56,11.8
Cantabria,2032,929.85,11.7
Cantabria,2033,846.58,11.86
Cantabria,2034,970.28,11.67
Cantabria,2035,884.3,11.78
Cantabria,2036,955.47,11.49
Cantabria,2037,821.15,11.97
Cantabria,2038,872.24,11.95
Cantabria,2039,943.27,11.93
Cantabria,2040,825.97,12.14
Cantabria,2041,928.32,11.88
Cantabria,2042,939.38,12.01
Cantabria,2043,894.25,12.06
Cantabria,2044,864.09,11.93
Cantabria,2045,885.63,11.86
Cantabria,2046,892.56,12.05
Cantabria,2047,885.05,12.16
Cantabria,2048,844.81,12.26
Cantabria,2049,925.85,11.9
Cantabria,2050,879.25,12.24
Cantabria,2051,973.53,12.3
Cantabria,2052,930.72,12.22
Cantabria,2053,936.42,12.57
Cantabria,2054,955.48,12.29
Cantabria,2055,946.65,12.6
Cantabria,2056,891.13,12.27
Cantabria,2057,895.59,12.43
Cantabria,2058,797.29,12.55
Cantabria,2059,857.16,12.31
Cantabria,2060,945.64,12.62
Cantabria,2061,882.84,12.26
Cantabria,2062,861.06,12.57
Cantabria,2063,961.48,12.16
Cantabria,2064,914.28,12.63
Cantabria,2065,916.76,12.68
Cantabria,2066,871.85,12.88
Cantabria,2067,954.22,12.55
Cantabria,2068,840.54,12.8
Cantabria,2069,844.08,12.88
Cantabria,2070,892.18,12.48
Cantabria,2071,862.06,12.68
Cantabria,2072,835.23,12.32
Cantabria,2073,884.81,12.67
Cantabria,2074,844.54,12.86
Cantabria,2075,895.09,12.81
Cantabria,2076,858.98,12.99
Cantabria,2077,889.5,13.12
Cantabria,2078,818.58,13.2
Cantabria,2079,796.87,13.17
Cantabria,2080,840.83,12.97
Cantabria,2081,745.12,13.14
Cantabria,2082,759.22,13.22
Cantabria,2083,799.18,13.14
Cantabria,2084,823.34,13.27
Cantabria,2085,896.14,13.27
Cantabria,2086,848.49,13.33
Cantabria,2087,808.44,13.65
Cantabria,2088,848.32,13.65
Cantabria,2089,893.6,13.84
Cantabria,2090,854.87,13.74
Cantabria,2091,748.09,13.84
Cantabria,2092,896.47,13.66
Cantabria,2093,831.47,13.39
Cantabria,2094,831.26,13.62
Cantabria,2095,772.87,13.64
Cantabria,2096,774.64,13.41
Cantabria,2097,837.4,13.58
Cantabria,2098,893.4,13.37
Cantabria,2099,758.5,13.74
Cantabria,2100,773.37,13.52
