Province,Year,Projected Precip,Projected Temp
California,2006,537.67,14.8
California,2007,611.05,14.82
California,2008,601.29,14.63
California,2009,599.05,14.78
California,2010,589.81,14.91
California,2011,624.75,14.9
California,2012,587.52,14.79
California,2013,593.13,14.75
California,2014,608.6,14.85
California,2015,616.62,14.99
California,2016,564.53,15.27
California,2017,610.45,15.16
California,2018,627.4,14.95
California,2019,608.45,14.96
California,2020,601.08,15.15
California,2021,573.04,15.18
California,2022,618.41,14.99
California,2023,546.46,15.24
California,2024,537.27,15.35
California,2025,559.56,15.15
California,2026,534.33,15.08
California,2027,649.32,15.09
California,2028,599.45,15.21
California,2029,598.06,15.31
California,2030,558.4,15.2
California,2031,688.35,15.21
California,2032,597.43,15.26
California,2033,503.41,15.19
California,2034,507.6,15.42
California,2035,594.0,15.08
California,2036,510.29,15.17
California,2037,599.28,15.55
California,2038,525.24,15.72
California,2039,531.82,15.35
California,2040,570.29,15.64
California,2041,605.53,15.81
California,2042,704.58,15.71
California,2043,609.01,15.72
California,2044,665.93,15.68
California,2045,560.29,15.61
California,2046,669.31,15.86
California,2047,597.15,15.92
California,2048,581.25,16.03
California,2049,653.12,15.8
California,2050,552.39,15.72
California,2051,624.9,16.09
California,2052,522.54,15.96
California,2053,623.84,15.88
California,2054,593.52,16.16
California,2055,645.89,15.86
California,2056,554.24,16.04
California,2057,601.66,16.17
California,2058,577.5,16.27
California,2059,646.74,16.1
California,2060,526.22,16.2
California,2061,514.5,15.99
California,2062,641.65,16.29
California,2063,485.49,16.11
California,2064,547.29,16.42
California,2065,587.69,16.42
California,2066,570.11,16.39
California,2067,587.56,16.43
California,2068,687.6,16.42
California,2069,556.32,16.75
California,2070,565.19,16.61
California,2071,599.54,16.6
California,2072,678.02,16.42
California,2073,588.38,16.45
California,2074,567.65,16.7
California,2075,530.3,16.81
California,2076,570.83,16.96
California,2077,596.21,17.02
California,2078,597.87,17.17
California,2079,613.04,16.9
California,2080,567.59,17.46
California,2081,626.0,17.13
California,2082,590.99,16.5
California,2083,514.77,17.04
California,2084,609.15,17.24
California,2085,586.93,17.16
California,2086,538.52,17.21
California,2087,605.55,16.88
California,2088,499.35,17.28
California,2089,648.45,17.15
California,2090,621.97,17.06
California,2091,615.77,17.26
California,2092,565.28,17.51
California,2093,610.89,17.44
California,2094,531.29,17.5
California,2095,701.75,17.25
California,2096,563.06,17.31
California,2097,583.71,17.68
California,2098,629.98,17.59
California,2099,666.82,17.45
California,2100,654.49,17.36
New York,2006,1253.39,8.38
New York,2007,1198.34,8.34
New York,2008,1289.48,8.54
New York,2009,1265.38,8.38
New York,2010,1244.71,8.28
New York,2011,1154.84,8.65
New York,2012,1237.38,8.6
New York,2013,1187.97,8.17
New York,2014,1260.44,8.55
New York,2015,1227.74,8.42
