,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2006,979.79,1236.97,951.04,1060.66,905.82,1136.25,931.94,949.41,1038.95,537.87,1234.54,895.43,912.02,698.64,1035.38,1144,795.22,913.95,894.58,928.27,947.36,804.59,1050.74,1047.69,964.05,586.97,1126.36,995.52,1015.37,751.03,750.33,747.93,752.18
2007,972.05,1250.6,883.44,1003.26,976.26,1120.62,990.71,979.46,1067.56,565.02,1239.75,975.82,976.4,666.73,990.53,1143.06,751.56,969.68,958.05,985.17,952.99,688.1,970.75,1058.17,1003.42,558.18,1394.41,811.76,811.09,747.19,750.95,763.85,741.04
2008,998.92,1233.63,946.79,1051.07,956.52,1129.09,1004,983.82,1064.16,546.75,1193.24,927.36,950.65,749.43,1077.29,1155.37,817.72,927.05,958.12,948.69,1032.51,831.78,1025.25,1129.7,1014.01,624.79,1063.82,894.44,899.4,740.41,745.77,764.15,731.64
2009,1040.06,1274.26,968.9,1112.13,994.79,1190.12,1063.5,1067.28,1087.75,643.24,1279.51,956.77,995.22,775.73,1102.64,1183.89,856.78,916.5,990.38,953.4,1046.49,869.84,1074.5,1085.36,1005.19,627.96,936.9,901.31,918.41,744.34,749.36,766.58,736.12
2010,1035.19,1284.61,1030.31,1146.82,949.15,1234.25,955.24,1058.63,1108.81,608.82,1275.58,914.26,1016.63,777.76,1136.39,1182.26,897.23,935.14,938.62,945.28,1026.53,800.89,1065.66,1046.71,986.29,604.86,1387.49,960.99,952.16,728.03,730.42,738.62,724.12
2011,1015.5,1305.24,949.35,1073.04,915.51,1217.65,983.55,1036.3,1116.87,586.99,1313.83,916.08,1011.14,715.55,1067.82,1187.42,844.31,932.51,951.44,979.57,1013.9,757.26,1034.49,1105.33,994.01,549.46,1256.8,1107.79,1115.05,675.56,679.3,692.11,669.45
2012,1018.06,1255.77,961,1115.94,960.77,1206.1,1035.6,1034.54,1083.88,587.61,1290.21,893.88,959.92,735.8,1100.47,1182.57,832.97,909.33,1003.56,920.62,1052.84,765.56,1049.8,1035.49,967.86,628.99,1199.57,1007.75,987.57,812.59,813.44,816.35,811.2
2013,1059.02,1337.38,996.37,1158.54,1007.55,1270.41,1003.9,1066.15,1143.45,519.5,1395.71,970.1,980.54,681.73,1142.78,1237.41,843.86,997.77,985.96,990.33,1036.1,750.08,1097.65,1014.46,945.17,579.83,1184.05,883.63,871.25,725.11,728.42,739.77,719.69
2014,1035.7,1339.81,964.63,1088.87,1015.94,1219.58,1064.98,1044.23,1103.01,578.84,1342.45,979.58,1039.38,694.77,1084.72,1206.52,813.32,963.17,956.6,995.12,993.87,773.6,1060.12,1174.81,1074.07,576.75,1113.82,802.12,785.35,727.19,731.04,744.23,720.9
2015,967.79,1188.87,886.18,1023.09,897.14,1130.47,908.5,965.5,1077.98,530.22,1181.82,903.76,959.34,693.19,1005.29,1149.15,767.14,928.92,880.47,968.75,941.19,761.33,1015.29,1157.26,1088.05,564.47,1130.07,925.19,921.36,677.23,675.41,669.17,680.21
