,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2006,11.81,9.51,13.69,10.71,12.13,11.35,12.79,12.22,11.68,15.54,10.65,11.73,12.17,13.05,12.5,10.78,12.31,11.49,13.1,12.13,13.72,14.16,10.67,26.15,26.36,26.54,26.65,23.43,24.03,26.82,26.78,26.62,26.9
2007,11.8,9.61,13.56,10.88,11.98,11.48,12.68,12.23,11.62,15.58,10.75,11.54,12.13,13.09,12.57,10.76,12.3,11.43,12.94,11.97,13.6,14.21,10.77,25.97,26.19,26.27,26.58,23.4,24,26.62,26.57,26.41,26.7
2008,11.86,9.83,13.71,10.93,11.94,11.54,12.77,12.19,11.7,15.49,10.88,11.43,12.05,13.18,12.61,10.92,12.4,11.42,12.97,11.92,13.68,14.31,10.88,25.96,26.23,26.52,26.61,23.39,23.99,26.82,26.78,26.62,26.9
2009,12.04,10.06,13.75,11.05,12.16,11.73,12.88,12.37,11.95,15.61,11.11,11.71,12.28,13.3,12.71,11.17,12.43,11.69,13.17,12.21,13.8,14.44,11.05,26.12,26.39,26.57,26.61,23.41,24,26.87,26.82,26.66,26.94
2010,11.62,9.38,13.49,10.64,11.91,11.25,12.61,11.95,11.49,15.38,10.49,11.42,11.93,12.86,12.33,10.62,12.16,11.35,12.87,11.85,13.43,13.89,10.49,26.05,26.35,26.56,26.7,23.61,24.21,26.88,26.84,26.68,26.96
2011,11.92,9.75,13.66,10.96,12.12,11.65,12.79,12.27,11.83,15.56,10.93,11.6,12.18,13.12,12.63,10.97,12.36,11.58,13.1,12.07,13.7,14.25,10.91,26.17,26.41,26.56,26.63,23.38,23.97,26.86,26.82,26.66,26.94
2012,11.67,9.4,13.62,10.65,12.03,11.25,12.84,11.98,11.42,15.38,10.54,11.52,11.89,13.01,12.37,10.56,12.25,11.33,12.97,11.79,13.55,14.11,10.6,26.29,26.55,26.6,26.55,23.58,24.19,26.94,26.9,26.74,27.02
2013,11.63,9.37,13.56,10.67,11.92,11.23,12.71,11.99,11.34,15.3,10.52,11.39,11.8,12.97,12.4,10.5,12.21,11.23,12.91,11.68,13.54,14.03,10.58,26.18,26.44,26.74,26.71,23.43,24.02,27.01,26.96,26.79,27.09
2014,11.94,9.69,13.84,11,12.11,11.51,12.86,12.27,11.78,15.55,10.79,11.64,12.18,13.27,12.74,10.91,12.5,11.47,13.1,12.09,13.8,14.39,10.94,26.23,26.53,26.83,26.78,23.72,24.31,27.08,27.04,26.88,27.16
2015,12.02,9.79,13.9,11.07,12.25,11.67,13.12,12.34,11.86,15.73,10.91,11.66,12.3,13.28,12.74,10.96,12.52,11.54,13.31,12.16,13.9,14.47,11,26.21,26.46,26.52,26.64,23.62,24.21,26.87,26.82,26.66,26.95
2016,12.16,10.09,13.99,11.2,12.31,11.84,13.02,12.46,12.03,15.81,11.21,11.81,12.35,13.37,12.9,11.25,12.58,11.77,13.28,12.26,13.95,14.59,11.2,26.23,26.54,26.63,26.79,23.7,24.3,26.93,26.88,26.72,27
2017,11.94,9.77,13.76,10.78,12.3,11.53,13.03,12.33,11.85,15.63,10.79,11.79,12.26,13.1,12.64,11.02,12.31,11.62,13.22,12.16,13.81,14.3,10.75,26.3,26.69,26.64,26.81,23.63,24.21,26.94,26.9,26.74,27.02
2018,12.09,9.72,14,11.15,12.39,11.69,13.05,12.56,11.86,15.64,10.88,11.86,12.38,13.41,12.95,10.96,12.62,11.6,13.44,12.2,14.11,14.44,10.99,26.41,26.75,26.8,26.87,23.76,24.36,27.06,27.01,26.85,27.13
2019,12.01,9.84,13.93,11.11,12.05,11.69,12.73,12.33,11.81,15.74,11.03,11.6,12.17,13.43,12.77,11.01,12.7,11.55,13.06,12.05,13.75,14.48,11.04,26.27,26.53,26.75,26.9,23.65,24.25,27,26.95,26.79,27.08
2020,11.82,9.58,13.66,10.77,12.14,11.4,12.78,12.19,11.7,15.53,10.73,11.65,12.1,13.09,12.51,10.8,12.32,11.56,13.03,12.05,13.65,14.18,10.72,26.26,26.49,26.53,26.77,23.71,24.32,26.9,26.86,26.7,26.98
2021,11.97,9.87,13.75,10.9,12.14,11.57,12.84,12.28,11.9,15.86,10.88,11.66,12.23,13.33,12.6,11.06,12.5,11.62,13.11,12.17,13.71,14.52,10.94,26.51,26.77,26.81,26.9,23.83,24.45,27.1,27.06,26.9,27.18
2022,12.27,10.09,14.23,11.38,12.33,11.98,13.14,12.59,12.02,15.85,11.3,11.77,12.35,13.71,13.09,11.19,12.96,11.7,13.39,12.23,14.17,14.71,11.38,26.48,26.79,26.89,26.91,23.63,24.23,27.19,27.15,26.99,27.27
2023,12.04,9.73,13.78,11.06,12.25,11.72,12.92,12.45,11.97,15.79,10.91,11.73,12.36,13.35,12.77,11.05,12.52,11.67,13.17,12.23,13.78,14.51,10.98,26.48,26.72,26.74,26.91,23.8,24.39,27.06,27.01,26.85,27.13
2024,11.86,9.87,13.68,10.75,12.08,11.42,12.83,12.13,11.7,15.64,10.84,11.52,12.05,13.22,12.55,10.96,12.39,11.43,13.02,11.96,13.68,14.34,10.82,26.35,26.61,26.66,27,23.7,24.29,26.97,26.93,26.77,27.05
2025,11.9,9.62,13.89,10.93,12.15,11.57,12.95,12.21,11.72,15.73,10.83,11.49,12.05,13.2,12.63,10.87,12.49,11.32,13.19,11.89,13.86,14.32,10.89,26.25,26.46,26.78,26.94,23.83,24.41,27.08,27.03,26.87,27.16
2026,12.21,10.03,14,11.25,12.44,11.88,13.07,12.57,12,15.95,11.23,11.9,12.43,13.54,12.94,11.2,12.7,11.69,13.44,12.24,14.01,14.68,11.25,26.37,26.6,26.82,27,23.8,24.39,27.16,27.12,26.96,27.24
2027,11.95,9.74,13.77,10.92,12.26,11.57,13.05,12.27,11.78,15.69,10.85,11.77,12.21,13.21,12.6,10.92,12.4,11.69,13.15,12.19,13.74,14.36,10.89,26.67,26.95,26.97,27.03,23.91,24.52,27.26,27.21,27.05,27.33
2028,11.97,9.67,13.79,11.01,12.14,11.68,12.83,12.36,11.89,15.64,10.88,11.7,12.26,13.29,12.69,10.97,12.53,11.59,13.18,12.15,13.8,14.36,10.95,26.62,27.01,26.88,27.11,23.82,24.39,27.18,27.14,26.98,27.26
2029,12.15,9.92,14.11,11.22,12.27,11.75,12.99,12.53,11.99,15.81,11.03,11.79,12.41,13.49,12.97,11.11,12.72,11.67,13.28,12.3,14.02,14.61,11.14,26.44,26.75,26.88,26.89,23.72,24.32,27.28,27.23,27.07,27.35
2030,12.13,9.87,14.03,11.23,12.36,11.74,13.09,12.51,11.95,15.8,11,11.71,12.35,13.51,12.99,11.05,12.74,11.52,13.33,12.14,14,14.57,11.1,26.54,26.71,26.94,26.97,23.84,24.44,27.24,27.2,27.04,27.32
2031,12.35,10.21,14.13,11.35,12.62,11.94,13.28,12.72,12.19,15.97,11.3,12.14,12.64,13.57,13.11,11.36,12.8,12.01,13.56,12.55,14.2,14.7,11.32,26.46,26.77,26.9,27.15,23.82,24.41,27.18,27.14,26.98,27.26
