,Italy,Abruzzi,Basilicata,Calabria,Campania,Emilia-romagna,Friuli-venezia Giulia,Lazio,Liguria,Lombardia,Marche,Molise,Piemonte,Puglia,Sardegna,Sicilia,Toscana,Trentino-alto Adige,Umbria,Valle D'aosta,Veneto
1901,11.24,10.93,12.64,15.13,13.11,10.6,7.8,13.54,10.94,7.85,10.68,12.11,8.33,14.69,14.54,16.02,11.6,1.1,11.15,1.45,11.86
1902,11.52,11.21,12.77,15.3,13.3,10.95,8,13.82,11.28,8.15,10.99,12.35,8.68,14.81,14.87,16.19,11.96,1.39,11.44,1.78,12.2
1903,11.56,11.45,12.85,15.13,13.33,11.07,8.3,13.97,11.4,8.3,11.2,12.52,8.8,14.96,14.51,15.82,12.04,1.64,11.62,1.89,12.36
1904,12.03,11.86,13.07,15.34,13.66,11.65,8.72,14.43,12.05,8.94,11.65,12.9,9.47,15.18,15.07,16.14,12.59,2.14,12.12,2.56,12.93
1905,11.4,11.23,12.65,15.02,13.16,10.89,8.16,13.76,11.21,8.12,10.97,12.36,8.63,14.77,14.5,15.79,11.82,1.38,11.38,1.74,12.19
1906,11.4,11.12,12.51,14.85,13.01,11.01,8.03,13.73,11.42,8.33,10.95,12.18,8.87,14.63,14.44,15.63,11.91,1.43,11.44,1.98,12.25
1907,11.42,11.22,12.61,14.87,13.12,10.98,8.07,13.81,11.38,8.26,10.98,12.3,8.79,14.7,14.53,15.63,11.93,1.45,11.48,1.88,12.23
1908,11.22,10.88,12.36,14.81,12.9,10.73,7.71,13.51,11.17,8,10.68,11.96,8.57,14.4,14.58,15.72,11.71,1.14,11.19,1.67,11.97
1909,11.11,10.94,12.45,14.93,12.96,10.49,7.57,13.54,10.87,7.77,10.62,12.04,8.26,14.55,14.37,15.7,11.5,0.88,11.14,1.37,11.75
1910,11.5,11.43,12.78,14.99,13.27,11.02,8.26,13.91,11.35,8.33,11.09,12.5,8.78,14.94,14.43,15.66,11.91,1.53,11.56,1.88,12.37
1911,12.06,11.8,13.07,15.34,13.66,11.64,8.81,14.38,12.16,9.02,11.62,12.87,9.61,15.22,15.17,16.23,12.54,2.22,12.09,2.72,12.9
1912,11.36,11.08,12.51,15.02,13.07,10.8,7.91,13.69,11.21,8.08,10.85,12.2,8.64,14.64,14.62,15.96,11.78,1.3,11.32,1.77,12.06
1913,11.69,11.43,12.92,15.31,13.49,11.08,8.18,14.03,11.58,8.41,11.13,12.64,9.03,15.03,15.01,16.28,12.07,1.6,11.61,2.17,12.32
1914,11.41,11.1,12.34,14.82,12.96,11,8.09,13.74,11.29,8.26,10.95,12.15,8.73,14.43,14.78,15.84,11.92,1.52,11.4,1.85,12.26
1915,11.48,11.19,12.81,15.29,13.3,10.86,8.06,13.82,11.29,8.19,10.93,12.38,8.72,14.92,14.73,16.06,11.83,1.35,11.44,1.83,12.12
1916,12.03,11.95,13.44,15.87,13.99,11.37,8.82,14.48,11.62,8.58,11.68,13.15,9.03,15.61,15.02,16.58,12.38,1.93,12.09,2.14,12.74
1917,11.33,11.25,12.78,15.26,13.31,10.64,7.88,13.81,10.89,7.78,10.96,12.41,8.25,14.88,14.48,16.09,11.74,1.04,11.41,1.33,11.93
1918,11.52,11.27,12.59,15.07,13.14,11.07,8.34,13.82,11.47,8.39,11.07,12.37,8.93,14.78,14.42,15.79,11.97,1.71,11.52,2.08,12.35
1919,11.24,11,12.53,15.04,13.01,10.65,7.67,13.64,11.14,7.94,10.75,12.17,8.56,14.66,14.35,15.85,11.68,0.96,11.32,1.68,11.91
1920,12.41,12.29,13.42,15.71,14.07,12.07,9.23,14.83,12.3,9.22,12.12,13.32,9.69,15.51,15.37,16.6,13.02,2.59,12.5,2.77,13.34
1921,12.22,11.96,13.11,15.36,13.73,11.95,9.06,14.56,12.37,9.34,11.8,12.97,9.83,15.19,15.22,16.14,12.78,2.52,12.29,2.96,13.23
1922,11.56,11.32,12.96,15.57,13.49,10.84,7.95,13.96,11.19,8.01,11.05,12.5,8.54,14.98,14.98,16.5,11.94,1.19,11.54,1.59,12.09
1923,12.04,11.82,13.24,15.63,13.72,11.56,8.67,14.43,11.98,8.85,11.62,12.97,9.4,15.5,15.01,16.24,12.55,1.99,12.14,2.51,12.83
1924,11.77,11.51,12.99,15.55,13.58,11.18,8.11,14.16,11.56,8.34,11.28,12.64,8.93,15.02,15.18,16.58,12.26,1.52,11.75,1.97,12.39
1925,11.66,11.45,12.96,15.43,13.49,11.07,8.23,14.04,11.45,8.34,11.21,12.6,8.85,15.09,14.72,16.24,12.08,1.56,11.66,1.96,12.3
1926,12.28,12.04,13.39,15.87,13.95,11.8,9.01,14.62,12.14,9.01,11.84,13.17,9.56,15.58,15.44,16.65,12.78,2.28,12.3,2.65,13.06
1927,12.37,12.21,13.66,16.16,14.2,11.8,8.86,14.81,12.09,8.97,11.95,13.37,9.43,15.85,15.52,16.93,12.84,2.18,12.44,2.52,13.03
1928,12.25,11.96,13.32,15.78,13.87,11.8,8.86,14.57,12.27,9.16,11.74,13.1,9.74,15.5,15.35,16.56,12.72,2.27,12.23,2.93,12.98
1929,11.56,11.33,12.53,14.95,13.12,11.16,8.21,13.96,11.56,8.44,11.11,12.39,8.98,14.71,14.72,15.79,12.11,1.59,11.62,2.12,12.38
1930,12.26,12.09,13.39,15.77,13.93,11.8,9.04,14.61,12.15,9.07,11.9,13.19,9.56,15.61,15.27,16.46,12.74,2.35,12.31,2.71,13.06
1931,11.54,11.19,12.93,15.51,13.45,10.88,8.04,13.86,11.23,8.1,11.01,12.27,8.61,14.88,14.94,16.47,11.83,1.27,11.46,1.7,12.2
1932,11.78,11.51,12.98,15.47,13.53,11.3,8.56,14.07,11.48,8.48,11.35,12.58,8.9,15.02,14.9,16.35,12.23,1.88,11.75,2.01,12.64
1933,11.24,10.71,12.41,14.97,12.96,10.66,7.65,13.45,11.22,8.02,10.54,11.78,8.69,14.33,14.85,15.98,11.58,1.08,11.06,1.8,11.9
1934,12.39,12.26,13.55,15.92,14.08,12.01,9.41,14.71,12.2,9.27,12.06,13.43,9.62,15.8,15.07,16.61,12.86,2.64,12.44,2.81,13.31
1935,11.72,11.38,12.97,15.5,13.46,11.16,8.31,14.01,11.64,8.53,11.18,12.49,9.08,15.06,14.8,16.3,12.07,1.63,11.68,2.25,12.44
1936,11.97,11.81,13.17,15.6,13.68,11.49,8.74,14.31,11.84,8.75,11.6,12.94,9.27,15.35,14.86,16.33,12.39,1.98,12.02,2.41,12.79
1937,12.07,11.69,13.26,15.81,13.75,11.5,8.65,14.3,12.08,8.9,11.49,12.81,9.55,15.36,15.24,16.63,12.42,2.07,11.96,2.67,12.76
1938,11.75,11.51,12.82,15.3,13.34,11.33,8.45,14.07,11.68,8.63,11.32,12.57,9.1,14.99,14.8,16.07,12.22,1.86,11.8,2.22,12.59
1939,11.74,11.53,13.05,15.55,13.55,11.18,8.48,14.08,11.46,8.42,11.31,12.67,8.86,15.18,14.86,16.28,12.11,1.69,11.76,1.96,12.5
1940,10.87,10.33,11.96,14.58,12.46,10.32,7.33,13.06,10.81,7.62,10.17,11.37,8.23,13.93,14.64,15.62,11.24,0.76,10.69,1.31,11.59
1941,11.19,10.83,12.44,15.04,12.93,10.62,7.63,13.47,10.94,7.83,10.63,11.96,8.34,14.49,14.56,16,11.62,1.01,11.11,1.46,11.8
1942,11.94,11.59,13.06,15.57,13.61,11.46,8.38,14.26,11.79,8.61,11.43,12.66,9.13,15.06,15.37,16.62,12.49,1.81,11.94,2.2,12.67
1943,12.68,12.29,13.67,16.12,14.27,12.24,9.23,14.96,12.8,9.59,12.11,13.38,10.26,15.7,15.91,17.07,13.17,2.72,12.64,3.38,13.43
1944,11.58,11.22,12.79,15.32,13.3,10.96,7.98,13.83,11.61,8.31,10.97,12.4,9.09,14.86,15.03,16.22,11.88,1.33,11.42,2.22,12.19
1945,12.34,12.01,13.37,15.78,13.93,11.87,8.85,14.66,12.51,9.26,11.81,13.09,9.98,15.47,15.63,16.58,12.8,2.33,12.36,3.12,13.08
1946,12.27,12.02,13.51,15.95,14.03,11.74,9.09,14.57,12.05,9.01,11.82,13.14,9.52,15.62,15.33,16.74,12.6,2.32,12.24,2.69,13.11
1947,12.59,12.17,13.73,16.27,14.27,12.05,9.15,14.76,12.55,9.42,12,13.3,10.1,15.77,15.78,17.16,12.95,2.62,12.44,3.34,13.23
1948,12.28,11.92,13.2,15.55,13.79,11.96,9.12,14.5,12.31,9.31,11.8,12.95,9.79,15.26,15.45,16.45,12.78,2.59,12.23,2.92,13.23
1949,12.37,12.06,13.24,15.57,13.86,12.04,9.01,14.67,12.51,9.43,11.91,13.05,10.1,15.29,15.48,16.47,12.89,2.5,12.43,3.36,13.25
1950,12.59,12.44,13.84,16.23,14.37,12.09,9.21,15.01,12.38,9.32,12.26,13.54,9.9,15.97,15.61,16.87,13.06,2.54,12.71,3.14,13.35
1951,12.35,12.38,13.7,16.02,14.18,11.93,9.29,14.69,12.02,9.16,12.06,13.55,9.44,15.94,15.07,16.35,12.73,2.55,12.38,2.64,13.33
1952,12.18,12.01,13.77,16.22,14.17,11.53,8.41,14.52,11.96,8.74,11.68,13.22,9.4,15.82,15.38,16.82,12.53,1.75,12.14,2.56,12.54
1953,11.99,11.61,12.81,15.24,13.41,11.81,9.03,14.19,12.09,9.21,11.55,12.68,9.58,14.92,14.8,15.92,12.48,2.51,11.96,2.77,13.12
1954,11.45,11.12,12.57,15.11,13.16,11,8.09,13.76,11.4,8.25,10.92,12.26,8.86,14.66,14.6,15.75,11.92,1.42,11.44,2.02,12.23
1955,11.99,11.64,13.27,15.81,13.84,11.38,8.29,14.32,11.96,8.55,11.38,12.8,9.31,15.28,15.48,16.73,12.47,1.6,11.94,2.33,12.44
1956,11.15,10.93,12.43,15.01,12.94,10.6,7.73,13.5,11.03,7.81,10.65,12.07,8.38,14.49,14.3,15.69,11.59,0.97,11.09,1.42,11.85
1957,12.08,11.92,13.24,15.64,13.8,11.69,9.09,14.44,11.87,8.94,11.74,13.03,9.28,15.37,14.97,16.12,12.51,2.37,12.08,2.42,13.1
1958,12.24,12.06,13.4,15.83,13.9,11.84,8.99,14.54,12.09,9.1,11.89,13.13,9.49,15.53,15.31,16.47,12.7,2.27,12.25,2.69,13.13
1959,12.23,11.83,12.79,15.24,13.48,12.07,9.24,14.48,12.42,9.5,11.78,12.81,9.92,14.9,15.32,16.17,12.86,2.72,12.24,3.17,13.35
1960,12.1,11.98,13.44,15.91,13.92,11.54,8.79,14.43,11.81,8.78,11.67,13.09,9.23,15.52,15.14,16.63,12.5,2.03,12.08,2.41,12.86
1961,12.58,12.21,13.46,15.81,13.96,12.41,9.49,14.73,12.72,9.73,12.13,13.2,10.23,15.56,15.5,16.59,13.12,2.91,12.49,3.44,13.59
1962,11.67,11.48,13.07,15.59,13.54,11.21,7.94,14.02,11.58,8.32,11.22,12.66,8.88,15.13,14.86,16.3,12.09,1.24,11.61,1.84,12.08
1963,11.65,11.57,13.13,15.54,13.55,11.06,8.32,14.09,11.34,8.16,11.29,12.73,8.55,15.19,14.85,16.19,12.08,1.53,11.7,1.48,12.4
1964,11.99,11.64,12.9,15.33,13.45,11.69,8.78,14.25,12.14,9.01,11.5,12.59,9.55,14.95,15.22,16.19,12.51,2.15,11.89,2.68,12.85
1965,11.42,11.18,12.64,15.09,13.16,10.89,7.98,13.76,11.31,8.07,10.94,12.33,8.69,14.73,14.81,15.96,11.86,1.23,11.36,1.78,12.07
1966,12.07,11.77,13.11,15.49,13.61,11.74,8.97,14.31,12.01,8.99,11.66,12.82,9.51,15.25,15.06,16.26,12.58,2.18,12.06,2.69,13.06
1967,12.04,11.65,12.98,15.43,13.55,11.69,8.93,14.28,12.06,8.95,11.55,12.68,9.48,15.05,15.29,16.32,12.52,2.2,11.98,2.58,13
1968,11.83,11.51,12.9,15.39,13.46,11.35,8.62,14.11,11.67,8.59,11.37,12.61,9.08,15.01,15.18,16.26,12.26,1.88,11.78,2.18,12.7
1969,11.68,11.39,12.79,15.29,13.33,11.27,8.42,13.98,11.52,8.46,11.27,12.47,8.88,14.88,14.85,16.03,12.18,1.77,11.71,1.99,12.6
1970,11.79,11.56,12.91,15.41,13.5,11.34,8.19,14.18,11.74,8.48,11.36,12.65,9.09,15,15.17,16.26,12.32,1.54,11.81,2.09,12.37
1971,11.82,11.49,12.72,15.15,13.31,11.49,8.78,14.08,11.86,8.82,11.34,12.51,9.24,14.87,14.97,15.94,12.33,2.13,11.77,2.31,12.9
1972,11.78,11.53,12.81,15.22,13.42,11.42,8.74,14.08,11.67,8.62,11.4,12.62,9.02,14.94,14.72,16.02,12.32,2.05,11.84,2.06,12.89
1973,11.83,11.45,12.76,15.33,13.39,11.49,8.56,14.07,11.88,8.71,11.33,12.51,9.2,14.84,15.06,16.25,12.36,1.85,11.79,2.18,12.72
1974,11.9,11.51,12.75,15.12,13.35,11.65,8.92,14.08,11.88,8.96,11.47,12.54,9.46,14.88,14.82,15.99,12.42,2.28,11.87,2.72,13
1975,11.94,11.58,12.77,15.18,13.36,11.69,9.22,14.13,11.9,9.01,11.54,12.57,9.41,14.91,14.79,16.06,12.44,2.4,11.93,2.63,13.22
1976,11.62,11.25,12.46,14.87,13.08,11.33,8.6,13.86,11.72,8.67,11.17,12.22,9.32,14.52,14.6,15.68,12.15,1.9,11.58,2.63,12.54
1977,12.07,11.83,13.22,15.58,13.77,11.47,9.03,14.42,11.79,8.75,11.63,12.98,9.27,15.34,15.33,16.55,12.47,2.28,12.07,2.44,13.02
1978,11.39,11.12,12.48,14.96,13.07,10.84,8.1,13.72,11.3,8.13,10.89,12.2,8.72,14.54,14.66,15.91,11.82,1.42,11.35,1.8,12.2
1979,12.03,11.9,13.25,15.65,13.84,11.51,8.66,14.44,11.85,8.65,11.66,13.04,9.26,15.36,15.2,16.46,12.51,1.91,12.08,2.3,12.73
1980,11.36,11.02,12.43,14.9,13.03,10.97,8.02,13.57,11.37,8.27,10.83,12.14,8.8,14.48,14.4,15.78,11.85,1.36,11.3,1.86,12.17
1981,11.79,11.4,12.87,15.33,13.41,11.31,8.38,14,11.77,8.66,11.24,12.53,9.29,14.91,15.05,16.27,12.21,1.76,11.7,2.42,12.49
1982,12.55,12.25,13.59,15.98,14.24,12.05,9.24,14.85,12.46,9.37,12.09,13.35,9.98,15.62,15.78,16.98,13.04,2.67,12.55,3.15,13.37
1983,12.17,11.72,13.09,15.49,13.69,11.67,9.11,14.35,12.17,9.2,11.55,12.81,9.76,15.13,15.45,16.48,12.57,2.57,12,3.01,13.17
1984,11.62,11.34,12.88,15.37,13.43,11.04,8.27,13.89,11.39,8.36,11.09,12.49,8.95,14.89,14.69,16.21,11.97,1.62,11.55,2.17,12.38
1985,12.07,11.83,13.37,15.89,13.95,11.49,8.44,14.45,11.89,8.73,11.56,12.99,9.18,15.35,15.35,16.81,12.52,1.85,12.08,2.17,12.68
1986,12.23,11.89,13.44,15.88,13.95,11.72,8.71,14.53,12.21,9.03,11.61,13.03,9.57,15.46,15.43,16.84,12.64,2.19,12.13,2.57,12.91
1987,12.18,11.87,13.39,15.93,13.98,11.59,8.58,14.56,12.03,8.81,11.62,13.01,9.37,15.32,15.61,16.94,12.66,1.98,12.17,2.5,12.7
1988,12.56,12.13,13.53,16.08,14.19,12.11,9.2,14.75,12.51,9.5,11.96,13.23,10.05,15.55,15.79,17.14,12.99,2.63,12.41,3.29,13.33
1989,12.28,11.69,13.03,15.47,13.62,11.85,9.27,14.35,12.47,9.43,11.53,12.81,10.11,15.14,15.5,16.62,12.62,2.83,12,3.4,13.29
1990,12.7,12.33,13.64,16.06,14.22,12.3,9.51,14.87,12.72,9.71,12.13,13.41,10.27,15.73,15.86,17.08,13.1,2.93,12.54,3.48,13.61
1991,11.92,11.56,12.85,15.28,13.44,11.56,8.7,14.12,12.01,8.96,11.36,12.64,9.5,14.92,14.96,16.28,12.37,2.17,11.79,2.67,12.76
1992,12.55,12.28,13.42,15.7,14.05,12.26,9.66,14.82,12.53,9.59,12.28,13.34,9.97,15.51,15.46,16.63,13.06,3.05,12.59,3.07,13.65
1993,12.31,12.02,13.26,15.63,13.86,11.93,9.25,14.54,12.27,9.3,11.88,13.11,9.68,15.37,15.32,16.63,12.76,2.65,12.29,2.7,13.32
1994,13.27,12.9,14.18,16.57,14.75,12.86,10.33,15.41,13.19,10.29,12.79,13.99,10.77,16.29,16.32,17.68,13.59,3.65,13.15,3.9,14.29
