province,points,year,precipitation,temperature,latitude,longitude
Alsace,89.21052632,2016,925.96,10.68,48.239496,7.4113269
Aquitaine,86.47142857,2016,884.1,13.76,44.79684,-0.491054
Burgundy,86.35135135,2016,806.99,11.52,47.817659,3.736529
California,88.47758285,2016,637.88,15.08,37.128484,-119.869986
Champagne-Ardenne,93.83333333,2012,890.94,11.03,49.565312,4.678181
New York,87.79787234,2016,927.62,9.03,43.187082,-75.832058
Oregon,89.44537815,2016,749.92,9.87,44.001141,-120.672809
Piemonte,87.6,2016,1186.47,10.74,42.773796,12.548722
Sicilia,87.66666667,2016,459.21,17.82,37.587529,14.140149
Tuscany,87.69767442,2015,533.9,14.09,43.417574,11.264825
Veneto,88.26760563,2016,890.73,14.27,45.655544,11.836855
Washington,87.44247788,2016,1103.25,9.64,47.414923,-120.444166
