points,price,province,variety,winery,Year
87,14.0,Oregon,Pinot Gris,Rainstorm,2013
87,65.0,Oregon,Pinot Noir,Sweet Cheeks,2012
87,24.0,Alsace,Gewürztraminer,Trimbach,2012
87,27.0,Alsace,Pinot Gris,Jean-Baptiste Adam,2012
87,19.0,California,Cabernet Sauvignon,Kirkland Signature,2011
87,30.0,Alsace,Gewürztraminer,Leon Beyer,2012
87,34.0,California,Cabernet Sauvignon,Louis M. Martini,2012
87,12.0,California,Chardonnay,Mirassou,2012
87,20.0,Oregon,Pinot Noir,Acrobat,2013
87,19.0,Sicilia,White Blend,Baglio di Pianetto,2007
87,22.0,California,Merlot,Bianchi,2011
87,69.0,California,Pinot Noir,Castello di Amorosa,2011
87,13.0,Sicilia,White Blend,Stemmari,2013
87,10.0,Sicilia,Nero d'Avola,Stemmari,2013
87,17.0,Sicilia,Red Blend,Terre di Giurfo,2011
86,50.0,California,Red Blend,Envolve,2010
86,20.0,California,Sauvignon Blanc,Envolve,2011
86,50.0,Oregon,Pinot Noir,Erath,2010
86,21.0,Sicilia,Cabernet Sauvignon,Feudi del Pisciotto,2010
86,12.0,Sicilia,Nero d'Avola,Feudo di Santa Tresa,2011
86,22.0,Oregon,Pinot Noir,Hawkins Cellars,2009
86,14.0,California,Sauvignon Blanc,Robert Hall,2011
86,13.0,California,Riesling,The White Knight,2011
85,15.0,Aquitaine,Bordeaux-style White Blend,Château de Sours,2011
85,30.0,California,Chardonnay,RustRidge,2010
85,14.0,California,Chardonnay,Souverain,2010
86,55.0,Washington,Malbec,Mellisoni,2014
86,26.0,California,Sauvignon Blanc,Sevtap,2015
86,24.0,Burgundy,Chardonnay,Simonnet-Febvre,2015
86,15.0,Burgundy,Chardonnay,Vignerons des Terres Secrètes,2015
86,46.0,Washington,Bordeaux-style Red Blend,Basel Cellars,2013
86,12.0,Washington,Chardonnay,Drumheller,2014
86,40.0,California,Cabernet Sauvignon,Eco Terreno,2013
86,75.0,California,Cabernet Sauvignon,Hindsight,2013
86,55.0,California,Petite Sirah,Hindsight,2012
86,75.0,California,Bordeaux-style Red Blend,Mulvane Wine Co.,2013
86,25.0,Oregon,Pinot Noir,Z'IVO,2015
86,24.0,California,Zinfandel,Napa Cellars,2014
86,55.0,California,Merlot,Passaggio,2014
88,23.0,California,Red Blend,Ferrari-Carano,2014
88,18.0,California,Pinot Gris,Folie à Deux,2015
88,55.0,California,Meritage,Franciscan,2013
88,22.0,Washington,Viognier,Gård,2014
88,20.0,New York,Riesling,Heron Hill,2015
88,30.0,Tuscany,Sangiovese,Serpaia di Endrizzi,2010
88,75.0,California,Bordeaux-style Red Blend,Soquel Vineyards,2013
88,18.0,New York,Pinot Gris,Ventosa,2015
87,20.0,New York,Riesling,Lamoreaux Landing,2014
87,20.0,New York,Riesling,Lamoreaux Landing,2014
87,14.0,Tuscany,White Blend,Marchesi Antinori,2015
87,30.0,Tuscany,Red Blend,Marchesi de' Frescobaldi,2014
87,18.0,Tuscany,Vermentino,Marchesi de' Frescobaldi,2015
87,26.0,California,Zinfandel,Martin Ranch,2014
87,30.0,Tuscany,Red Blend,Ornellaia,2014
87,85.0,California,Cabernet Sauvignon,Piña,2013
87,15.0,Tuscany,Red Blend,Podere Ciona,2014
87,18.0,California,Bordeaux-style Red Blend,Pull,2012
87,18.0,California,Chardonnay,Pull,2013
87,44.0,California,Syrah,Rideau,2014
92,80.0,Alsace,Riesling,Dopff & Irion,2004
92,70.0,Piemonte,Nebbiolo,Ceretto,2003
92,36.0,California,Chardonnay,Matrix,2007
92,39.0,California,Zinfandel,Mauritson,2007
92,45.0,California,Cabernet Sauvignon,Silverado,2006
91,48.0,Alsace,Gewürztraminer,Pierre Sparr,2007
91,13.0,Alsace,White Blend,Pierre Sparr,2008
91,17.0,Alsace,Pinot Blanc,Kuentz-Bas,2008
91,70.0,Piemonte,Nebbiolo,Ceretto,2003
91,68.0,Piemonte,Nebbiolo,Poderi Luigi Einaudi,2003
91,60.0,Piemonte,Nebbiolo,Giacomo Ascheri,2001
90,26.0,Piemonte,Barbera,Poderi Colla,2005
90,45.0,Piemonte,Nebbiolo,Giacomo Ascheri,2003
90,84.0,Alsace,Pinot Gris,Domaine Zind-Humbrecht,2007
91,85.0,California,Cabernet Sauvignon,Terra Valentine,2013
91,64.0,California,Pinot Noir,Testarossa,2013
91,68.0,California,Cabernet Sauvignon,Vincent Vineyards,2010
91,68.0,California,Cabernet Sauvignon,Vincent Vineyards,2012
91,35.0,California,Rhône-style Red Blend,Wrath,2013
91,55.0,California,Pinot Noir,Albatross Ridge,2012
91,46.0,California,Syrah,Alta Colina,2012
91,36.0,California,Syrah,Big Basin,2013
91,38.0,Tuscany,Sangiovese,Castello di Gabbiano,2012
91,35.0,California,Red Blend,Chronic Cellars,2013
91,28.0,California,Riesling,Claiborne & Churchill,2014
91,95.0,California,Merlot,Duckhorn,2012
91,44.0,California,Pinot Noir,Dutton-Goldfield,2014
91,38.0,Oregon,Pinot Noir,Le Cadeau,2014
88,22.0,Tuscany,Sangiovese,Isole e Olena,2005
88,25.0,California,Syrah,Kenwood,2005
88,27.0,Burgundy,Chardonnay,La Chablisienne,2006
88,23.0,California,Chardonnay,Manzoni,2006
88,36.0,California,Pinot Noir,McIntyre Vineyards,2006
88,35.0,California,Chardonnay,Anaba,2007
