,points,price,province,variety,winery,Year
2,87,14.0,Oregon,Pinot Gris,Rainstorm,2013
4,87,65.0,Oregon,Pinot Noir,Sweet Cheeks,2012
7,87,24.0,Alsace,GewÃ¼rztraminer,Trimbach,2012
9,87,27.0,Alsace,Pinot Gris,Jean-Baptiste Adam,2012
10,87,19.0,California,Cabernet Sauvignon,Kirkland Signature,2011
11,87,30.0,Alsace,GewÃ¼rztraminer,Leon Beyer,2012
12,87,34.0,California,Cabernet Sauvignon,Louis M. Martini,2012
14,87,12.0,California,Chardonnay,Mirassou,2012
20,85,20.0,California,Chardonnay,Ca' Momi,2015
22,87,20.0,Oregon,Pinot Noir,Acrobat,2013
23,87,19.0,Sicilia,White Blend,Baglio di Pianetto,2007
24,87,22.0,California,Merlot,Bianchi,2011
26,87,69.0,California,Pinot Noir,Castello di Amorosa,2011
27,87,13.0,Sicilia,White Blend,Stemmari,2013
28,87,10.0,Sicilia,Nero d'Avola,Stemmari,2013
29,87,17.0,Sicilia,Red Blend,Terre di Giurfo,2011
34,86,50.0,California,Red Blend,Envolve,2010
35,86,20.0,California,Sauvignon Blanc,Envolve,2011
36,86,50.0,Oregon,Pinot Noir,Erath,2010
38,86,21.0,Sicilia,Cabernet Sauvignon,Feudi del Pisciotto,2010
40,86,12.0,Sicilia,Nero d'Avola,Feudo di Santa Tresa,2011
42,86,22.0,Oregon,Pinot Noir,Hawkins Cellars,2009
44,86,14.0,California,Sauvignon Blanc,Robert Hall,2011
48,86,13.0,California,Riesling,The White Knight,2011
54,85,15.0,Aquitaine,Bordeaux-style White Blend,ChÃ¢teau de Sours,2011
56,85,30.0,California,Chardonnay,RustRidge,2010
57,85,14.0,California,Chardonnay,Souverain,2010
60,86,55.0,Washington,Malbec,Mellisoni,2014
66,86,26.0,California,Sauvignon Blanc,Sevtap,2015
67,86,24.0,Burgundy,Chardonnay,Simonnet-Febvre,2015
68,86,15.0,Burgundy,Chardonnay,Vignerons des Terres SecrÃ¨tes,2015
69,86,46.0,Washington,Bordeaux-style Red Blend,Basel Cellars,2013
72,86,12.0,Washington,Chardonnay,Drumheller,2014
73,86,40.0,California,Cabernet Sauvignon,Eco Terreno,2013
75,86,75.0,California,Cabernet Sauvignon,Hindsight,2013
76,86,55.0,California,Petite Sirah,Hindsight,2012
77,86,75.0,California,Bordeaux-style Red Blend,Mulvane Wine Co.,2013
80,86,25.0,Oregon,Pinot Noir,Z'IVO,2015
86,86,24.0,California,Zinfandel,Napa Cellars,2014
89,86,55.0,California,Merlot,Passaggio,2014
92,88,23.0,California,Red Blend,Ferrari-Carano,2014
93,88,18.0,California,Pinot Gris,Folie Ã  Deux,2015
94,88,55.0,California,Meritage,Franciscan,2013
96,88,22.0,Washington,Viognier,GÃ¥rd,2014
99,88,20.0,New York,Riesling,Heron Hill,2015
100,88,30.0,Tuscany,Sangiovese,Serpaia di Endrizzi,2010
101,88,75.0,California,Bordeaux-style Red Blend,Soquel Vineyards,2013
102,88,18.0,New York,Pinot Gris,Ventosa,2015
103,87,20.0,New York,Riesling,Lamoreaux Landing,2014
104,87,20.0,New York,Riesling,Lamoreaux Landing,2014
107,87,14.0,Tuscany,White Blend,Marchesi Antinori,2015
108,87,30.0,Tuscany,Red Blend,Marchesi de' Frescobaldi,2014
